Name	*StringName	Id	Pal	Act	QuestFlag	QuestFlagEx	Layer	SizeX	SizeY	SizeX(N)	SizeY(N)	SizeX(H)	SizeY(H)	OffsetX	OffsetY	Depend	Teleport	Rain	Mud	NoPer	LOSDraw	FloorFilter	BlankScreen	DrawEdges	*IsInside	DrlgType	LevelType	SubType	SubTheme	SubWaypoint	SubShrine	Vis0	Vis1	Vis2	Vis3	Vis4	Vis5	Vis6	Vis7	Warp0	Warp1	Warp2	Warp3	Warp4	Warp5	Warp6	Warp7	Intensity	Red	Green	Blue	Portal	Position	SaveMonsters	Quest	WarpDist	MonLvl	MonLvl(N)	MonLvl(H)	MonLvlEx	MonLvlEx(N)	MonLvlEx(H)	MonDen	MonDen(N)	MonDen(H)	MonUMin	MonUMax	MonUMin(N)	MonUMax(N)	MonUMin(H)	MonUMax(H)	MonWndr	MonSpcWalk	NumMon	mon1	mon2	mon3	mon4	mon5	mon6	mon7	mon8	mon9	mon10	mon11	mon12	mon13	mon14	mon15	mon16	mon17	mon18	mon19	mon20	mon21	mon22	mon23	mon24	mon25	rangedspawn	nmon1	nmon2	nmon3	nmon4	nmon5	nmon6	nmon7	nmon8	nmon9	nmon10	nmon11	nmon12	nmon13	nmon14	nmon15	nmon16	nmon17	nmon18	nmon19	nmon20	nmon21	nmon22	nmon23	nmon24	nmon25	umon1	umon2	umon3	umon4	umon5	umon6	umon7	umon8	umon9	umon10	umon11	umon12	umon13	umon14	umon15	umon16	umon17	umon18	umon19	umon20	umon21	umon22	umon23	umon24	umon25	cmon1	cmon2	cmon3	cmon4	cpct1	cpct2	cpct3	cpct4	camt1	camt2	camt3	camt4	Themes	SoundEnv	Waypoint	LevelName	LevelWarp	LevelEntry	ObjGrp0	ObjGrp1	ObjGrp2	ObjGrp3	ObjGrp4	ObjGrp5	ObjGrp6	ObjGrp7	ObjPrb0	ObjPrb1	ObjPrb2	ObjPrb3	ObjPrb4	ObjPrb5	ObjPrb6	ObjPrb7
Act 2 - Tomb 2 B	Halls of the Dead Level 2	57	1	1			39	200	200	200	200	200	200	3000	1600	0	1	0	0	0	1	1	1	0	1	1	17	-1	-1	-1	-1	56	0	0	0	60	0	0	0	45	-1	-1	-1	46	-1	-1	-1	0	255	255	255	0	0	1	0	1000	13	38	63	13	61	93	700	900	900	33	40	36	48	72	96	1	0	11	sandraider3	baboon1	sk_archer5	blunderbore1	skmage_cold4	mummy2	unraveler1	unraveler1	batdemon1	slinger2																	sandraider3	baboon1	sk_archer5	blunderbore1	skmage_cold4	mummy2	unraveler1	unraveler1	batdemon1	slinger2																sandraider3	baboon1	sk_archer5	blunderbore1	skmage_cold4	mummy2	unraveler1	unraveler1	batdemon1	slinger2																rat	bat	scorpion		30	30	20						60	19	12	Halls of the Dead Level 2	To The Halls of the Dead Level 2	EnteringTheHallsOfTheDeadLevel2	19	29	24	0	0	0	0	0	10	20	35	45	0	0	0	0
Act 2 - Tomb 3 A	Claw Viper Temple Level 1	58	1	1			40	200	200	200	200	200	200	3000	1900	0	1	0	0	0	1	1	1	0	1	1	17	-1	-1	-1	-1	45	0	0	0	61	0	0	0	45	-1	-1	-1	46	-1	-1	-1	0	255	255	255	0	0	1	0	1000	14	39	64	14	63	93	700	900	900	33	40	36	48	36	48	1	0	11	sandraider3	baboon1	sk_archer5	blunderbore1	skmage_cold4	mummy2	unraveler1	unraveler1	batdemon1	slinger2																	sandraider3	baboon1	sk_archer5	blunderbore1	skmage_cold4	mummy2	unraveler1	unraveler1	batdemon1	slinger2																sandraider3	baboon1	sk_archer5	blunderbore1	skmage_cold4	mummy2	unraveler1	unraveler1	batdemon1	slinger2																rat	bat	scorpion		30	30	20						60	19	255	Claw Viper Temple Level 1	To The Claw Viper Temple Level 1	EnteringTheClawViperTempleLevel1	19	29	24	0	0	0	0	0	10	20	35	45	0	0	0	0
Act 2 - Tomb 1 Treasure	Stony Tomb Level 2	59	1	1			41	200	200	200	200	200	200	3000	2200	0	1	0	0	0	1	1	1	0	1	1	17	-1	-1	-1	-1	55	0	0	0	0	0	0	0	45	-1	-1	-1	-1	-1	-1	-1	0	255	255	255	0	0	1	0	1000	12	37	62	12	60	93	700	900	900	33	40	24	36	24	36	1	0	11	sandraider3	baboon1	sk_archer5	blunderbore1	skmage_cold4	mummy2	unraveler1	unraveler1	batdemon1	slinger2																	sandraider3	baboon1	sk_archer5	blunderbore1	skmage_cold4	mummy2	unraveler1	unraveler1	batdemon1	slinger2																sandraider3	baboon1	sk_archer5	blunderbore1	skmage_cold4	mummy2	unraveler1	unraveler1	batdemon1	slinger2																rat	bat	scorpion		30	30	20						60	19	255	Stony Tomb Level 2	To The Stony Tomb Level 2	EnteringTheStonyTombLevel2	19	29	24	0	0	0	0	0	10	30	45	55	0	0	0	0
Act 2 - Tomb 2 Treasure	Halls of the Dead Level 3	60	1	1			42	200	200	200	200	200	200	3000	2500	0	1	0	0	0	1	1	1	0	1	1	17	-1	-1	-1	-1	57	0	0	0	0	0	0	0	45	-1	-1	-1	-1	-1	-1	-1	0	255	255	255	0	0	1	0	1000	13	38	63	13	61	93	700	900	900	33	40	24	36	6	12	1	0	20	sandraider3	baboon1	sk_archer5	blunderbore1	skmage_cold4	mummy2	unraveler1	unraveler1	batdemon1	slinger2																	sandraider3	baboon1	sk_archer5	blunderbore1	skmage_pois8	vampire10	sandraider11	deathmauler7																		sandraider3	baboon1	sk_archer5	blunderbore1	skmage_cold4	mummy2	unraveler1	unraveler1	batdemon1	slinger2	blunderbore7	cantor7	sandraider11	skmage_ltng8												rat	bat	scorpion		30	30	20						60	19	255	Halls of the Dead Level 3	To The Halls of the Dead Level 3	EnteringTheHallsOfTheDeadLevel3	19	29	24	0	0	0	0	0	10	30	45	55	0	0	0	0
Act 2 - Tomb 3 Treasure	Claw Viper Temple Level 2	61	1	1			43	200	200	200	200	200	200	3000	2800	0	1	0	0	0	1	1	1	0	1	1	17	-1	-1	-1	-1	58	0	0	0	0	0	0	0	45	-1	-1	-1	-1	-1	-1	-1	0	255	255	255	0	0	1	0	1000	14	39	64	14	63	93	700	900	900	33	40	24	36	6	12	1	0	3	clawviper2	clawviper2	clawviper3	clawviper3	mummy3	unraveler2																					clawviper2	clawviper2	clawviper3	clawviper3	mummy3	unraveler2																				clawviper2	clawviper2	clawviper3	clawviper3	mummy3	unraveler2																				rat	bat	scorpion		30	30	20						60	19	255	Claw Viper Temple Level 2	To The Claw Viper Temple Level 2	EnteringTheClawViperTempleLevel2	19	29	24	0	0	0	0	0	10	30	45	55	0	0	0	0
Act 2 - Lair 1 A	Maggot Lair Level 1	62	1	1			44	200	200	200	200	200	200	3500	1000	0	1	0	0	0	1	1	1	0	1	1	18	-1	-1	-1	-1	43	63	0	0	0	0	0	0	48	49	-1	-1	-1	-1	-1	-1	0	255	255	255	0	0	1	0	2025	17	42	67	17	61	93	700	900	900	33	40	30	36	30	36	1	0	3	sandmaggot1	sandmaggot2	swarm2	scarab2	scarab3																						sandmaggot1	sandmaggot2	swarm2	scarab2	scarab3																					sandmaggot1	sandmaggot2	swarm2	scarab2	scarab3																					rat	bat	scorpion		30	30	20						8	20	255	Maggot Lair Level 1	To The Maggot Lair Level 1	EnteringTheMaggotLairLevel1	35	29	0	0	0	0	0	0	50	35	0	0	0	0	0	0
Act 2 - Lair 1 B	Maggot Lair Level 2	63	1	1			45	200	200	200	200	200	200	3500	1300	0	1	0	0	0	1	1	1	0	1	1	18	-1	-1	-1	-1	62	64	0	0	0	0	0	0	48	49	-1	-1	-1	-1	-1	-1	0	255	255	255	0	0	1	0	2025	17	42	67	17	61	93	700	900	900	33	40	30	36	30	36	1	0	3	sandmaggot1	sandmaggot2	swarm2	scarab2	scarab3																						sandmaggot1	sandmaggot2	swarm2	scarab2	scarab3																					sandmaggot1	sandmaggot2	swarm2	scarab2	scarab3																					rat	bat	scorpion		30	30	20						8	20	255	Maggot Lair Level 2	To The Maggot Lair Level 2	EnteringTheMaggotLairLevel2	35	29	0	0	0	0	0	0	65	35	0	0	0	0	0	0
Act 2 - Lair 1 Treasure	Maggot Lair Level 3	64	1	1			46	200	200	200	200	200	200	3500	1600	0	1	0	0	0	1	1	1	0	1	1	18	-1	-1	-1	-1	63	0	0	0	0	0	0	0	48	-1	-1	-1	-1	-1	-1	-1	0	255	255	255	0	0	1	0	2025	17	42	67	17	62	93	700	900	900	33	40	24	30	24	30	1	0	3	sandmaggot1	sandmaggot2	swarm2	scarab2	scarab3																						sandmaggot1	sandmaggot2	swarm2	scarab2	scarab3																					sandmaggot1	sandmaggot2	swarm2	scarab2	scarab3																					rat	bat	scorpion		30	30	20						8	20	255	Maggot Lair Level 3	To The Maggot Lair Level 3	EnteringTheMaggotLairLevel3	35	29	0	0	0	0	0	0	80	55	0	0	0	0	0	0
Act 2 - Sewer 2 A	Ancient Tunnels	65	1	1			47	200	200	200	200	200	200	4000	1000	0	1	0	0	0	1	1	1	0	1	1	13	-1	-1	-1	-1	44	0	0	0	0	0	0	0	22	-1	-1	-1	-1	-1	-1	-1	0	255	255	255	0	0	1	0	2025	17	42	67	17	62	93	700	900	900	33	40	36	48	36	48	1	0	11	sandraider3	baboon1	sk_archer5	blunderbore1	skmage_cold4	mummy2	unraveler1	unraveler1	batdemon1	slinger2																	sandraider3	baboon1	sk_archer5	blunderbore1	skmage_cold4	mummy2	unraveler1	unraveler1	batdemon1	slinger2																sandraider3	baboon1	sk_archer5	blunderbore1	skmage_cold4	mummy2	unraveler1	unraveler1	batdemon1	slinger2																rat	bat	scorpion		30	100	20						8	15	255	Ancient Tunnels	To The Ancient Tunnels	EnteringTheAncientTunnels	29	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0
Act 2 - Tomb Tal 1	Tal Rasha's Tomb	66	1	1	13	13	48	200	200	200	200	200	200	4500	1000	0	1	0	0	0	1	1	1	0	1	1	17	-1	-1	-1	-1	46	0	0	0	0	0	0	0	45	-1	-1	-1	-1	-1	-1	-1	0	255	255	255	0	0	1	0	2025	17	42	67	17	65	93	700	900	900	33	40	42	54	42	54	1	0	11	wraith4	scarab4	mummy4	unraveler3	unraveler3	vampire1	blunderbore2	batdemon1	slinger2	skmage_cold4																	wraith4	scarab4	mummy4	unraveler3	unraveler3	vampire1	blunderbore2	batdemon1	slinger2	skmage_cold4																wraith4	scarab4	mummy4	unraveler3	unraveler3	vampire1	blunderbore2	batdemon1	slinger2	skmage_cold4																rat	bat	scorpion		30	30	20						8	19	255	Tal Rasha's Tomb	To Tal Rasha's Tomb	EnteringTalRasha'sTomb	19	29	32	78	0	0	0	0	10	40	5	10	0	0	0	0
Act 2 - Tomb Tal 2	Tal Rasha's Tomb	67	1	1	13	13	49	200	200	200	200	200	200	4500	1300	0	1	0	0	0	1	1	1	0	1	1	17	-1	-1	-1	-1	46	0	0	0	0	0	0	0	45	-1	-1	-1	-1	-1	-1	-1	0	255	255	255	0	0	1	0	2025	17	42	67	17	65	93	700	900	900	33	40	42	54	42	54	1	0	11	wraith4	scarab4	mummy4	unraveler3	unraveler3	vampire1	blunderbore2	batdemon1	slinger2	skmage_cold4																	wraith4	scarab4	mummy4	unraveler3	unraveler3	vampire1	blunderbore2	batdemon1	slinger2	skmage_cold4																wraith4	scarab4	mummy4	unraveler3	unraveler3	vampire1	blunderbore2	batdemon1	slinger2	skmage_cold4																rat	bat	scorpion		30	30	20						8	19	255	Tal Rasha's Tomb	To Tal Rasha's Tomb	EnteringTalRasha'sTomb	19	29	32	78	0	0	0	0	10	40	5	10	0	0	0	0
Act 2 - Tomb Tal 3	Tal Rasha's Tomb	68	1	1	13	13	50	200	200	200	200	200	200	4500	1600	0	1	0	0	0	1	1	1	0	1	1	17	-1	-1	-1	-1	46	0	0	0	0	0	0	0	45	-1	-1	-1	-1	-1	-1	-1	0	255	255	255	0	0	1	0	2025	17	42	67	17	65	93	700	900	900	33	40	42	54	42	54	1	0	11	wraith4	scarab4	mummy4	unraveler3	unraveler3	vampire1	blunderbore2	batdemon1	slinger2	skmage_cold4																	wraith4	scarab4	mummy4	unraveler3	unraveler3	vampire1	blunderbore2	batdemon1	slinger2	skmage_cold4																wraith4	scarab4	mummy4	unraveler3	unraveler3	vampire1	blunderbore2	batdemon1	slinger2	skmage_cold4																rat	bat	scorpion		30	30	20						8	19	255	Tal Rasha's Tomb	To Tal Rasha's Tomb	EnteringTalRasha'sTomb	19	29	32	78	0	0	0	0	10	40	5	10	0	0	0	0
Act 2 - Tomb Tal 4	Tal Rasha's Tomb	69	1	1	13	13	51	200	200	200	200	200	200	4500	1900	0	1	0	0	0	1	1	1	0	1	1	17	-1	-1	-1	-1	46	0	0	0	0	0	0	0	45	-1	-1	-1	-1	-1	-1	-1	0	255	255	255	0	0	1	0	2025	17	42	67	17	65	93	700	900	900	33	40	42	54	42	54	1	0	11	wraith4	scarab4	mummy4	unraveler3	unraveler3	vampire1	blunderbore2	batdemon1	slinger2	skmage_cold4																	wraith4	scarab4	mummy4	unraveler3	unraveler3	vampire1	blunderbore2	batdemon1	slinger2	skmage_cold4																wraith4	scarab4	mummy4	unraveler3	unraveler3	vampire1	blunderbore2	batdemon1	slinger2	skmage_cold4																rat	bat	scorpion		30	30	20						8	19	255	Tal Rasha's Tomb	To Tal Rasha's Tomb	EnteringTalRasha'sTomb	19	29	32	78	0	0	0	0	10	40	5	10	0	0	0	0
Act 2 - Tomb Tal 5	Tal Rasha's Tomb	70	1	1	13	13	52	200	200	200	200	200	200	4500	2200	0	1	0	0	0	1	1	1	0	1	1	17	-1	-1	-1	-1	46	0	0	0	0	0	0	0	45	-1	-1	-1	-1	-1	-1	-1	0	255	255	255	0	0	1	0	2025	17	42	67	17	65	93	700	900	900	33	40	42	54	42	54	1	0	11	wraith4	scarab4	mummy4	unraveler3	unraveler3	vampire1	blunderbore2	batdemon1	slinger2	skmage_cold4																	wraith4	scarab4	mummy4	unraveler3	unraveler3	vampire1	blunderbore2	batdemon1	slinger2	skmage_cold4																wraith4	scarab4	mummy4	unraveler3	unraveler3	vampire1	blunderbore2	batdemon1	slinger2	skmage_cold4																rat	bat	scorpion		30	30	20						8	19	255	Tal Rasha's Tomb	To Tal Rasha's Tomb	EnteringTalRasha'sTomb	19	29	32	78	0	0	0	0	10	40	5	10	0	0	0	0
Act 2 - Tomb Tal 6	Tal Rasha's Tomb	71	1	1	13	13	53	200	200	200	200	200	200	4500	2500	0	1	0	0	0	1	1	1	0	1	1	17	-1	-1	-1	-1	46	0	0	0	0	0	0	0	45	-1	-1	-1	-1	-1	-1	-1	0	255	255	255	0	0	1	0	2025	17	42	67	17	65	93	700	900	900	33	40	42	54	42	54	1	0	11	wraith4	scarab4	mummy4	unraveler3	unraveler3	vampire1	blunderbore2	batdemon1	slinger2	skmage_cold4																	wraith4	scarab4	mummy4	unraveler3	unraveler3	vampire1	blunderbore2	batdemon1	slinger2	skmage_cold4																wraith4	scarab4	mummy4	unraveler3	unraveler3	vampire1	blunderbore2	batdemon1	slinger2	skmage_cold4																rat	bat	scorpion		30	30	20						8	19	255	Tal Rasha's Tomb	To Tal Rasha's Tomb	EnteringTalRasha'sTomb	19	29	32	78	0	0	0	0	10	40	5	10	0	0	0	0
Act 2 - Tomb Tal 7	Tal Rasha's Tomb	72	1	1	13	13	54	200	200	200	200	200	200	4500	2800	0	1	0	0	0	1	1	1	0	1	1	17	-1	-1	-1	-1	46	0	0	0	0	0	0	0	45	-1	-1	-1	-1	-1	-1	-1	0	255	255	255	0	0	1	0	2025	17	42	67	17	65	93	700	900	900	33	40	42	54	42	54	1	0	11	wraith4	scarab4	mummy4	unraveler3	unraveler3	vampire1	blunderbore2	batdemon1	slinger2	skmage_cold4																	wraith4	scarab4	mummy4	unraveler3	unraveler3	vampire1	blunderbore2	batdemon1	slinger2	skmage_cold4																wraith4	scarab4	mummy4	unraveler3	unraveler3	vampire1	blunderbore2	batdemon1	slinger2	skmage_cold4																rat	bat	scorpion		30	30	20						8	19	255	Tal Rasha's Tomb	To Tal Rasha's Tomb	EnteringTalRasha'sTomb	19	29	32	78	0	0	0	0	10	40	5	10	0	0	0	0
Act 2 - Duriel's Lair	Duriel's Lair	73	1	1	13	13	55	32	47	32	47	32	47	4500	3100	0	2	0	0	1	1	1	1	0	1	2	17	-1	-1	-1	-1	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	0	255	255	255	0	1	1	0	2025	17	42	67	17	65	93	700	900	900	0	0	0	4	0	4	1	0	11	wraith4	scarab4	mummy4	unraveler3	unraveler3	vampire1	blunderbore2	batdemon1	slinger2	skmage_cold4																	wraith4	scarab4	mummy4	unraveler3	unraveler3	vampire1	blunderbore2	batdemon1	slinger2	skmage_cold4																wraith4	scarab4	mummy4	unraveler3	unraveler3	vampire1	blunderbore2	batdemon1	slinger2	skmage_cold4																rat	bat	scorpion	larva	30	30	20	100					0	21	255	Duriel's Lair	To Duriel's Lair	EnteringDuriel'sLair	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Act 2 - Arcane	Arcane Sanctuary	74	1	1	11	11	56	200	200	200	200	200	200	5000	1000	0	1	0	0	1	1	1	1	0	1	1	19	-1	-1	-1	-1	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	128	255	255	255	1	1	1	11	3800	14	39	64	14	64	93	700	900	900	33	40	42	54	42	54	1	0	11	wraith4	scarab4	mummy4	unraveler3	unraveler3	vampire1	blunderbore2	batdemon1	slinger2	skmage_cold4																	wraith4	scarab4	mummy4	unraveler3	unraveler3	vampire1	blunderbore2	batdemon1	slinger2	skmage_cold4																wraith4	scarab4	mummy4	unraveler3	unraveler3	vampire1	blunderbore2	batdemon1	slinger2	skmage_cold4																												0	22	16	Arcane Sanctuary	To The Arcane Sanctuary	EnteringTheArcaneSanctuary	53	75	0	0	0	0	0	0	75	75	0	0	0	0	0	0
Act 3 - Town	Kurast Docktown	75	2	2			57	64	48	64	48	64	48	1000	1000	0	1	1	1	0	0	1	1	0	0	2	20	-1	-1	-1	-1	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	1	0	0	2025	0	25	50				72	100	100							0	0																																																																																										0	23	18	Kurast Docktown	To The Kurast Docktown	EnteringTheKurastDocktown	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Act 3 - Jungle 1	Spider Forest	76	2	2			57	64	192	64	192	64	192	-1	-1	0	1	1	1	0	0	1	1	0	0	3	21	-1	-1	-1	-1	84	85	0	0	0	0	0	0	51	51	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	1	0	2025	21	46	71	21	65	94	700	900	900	33	40	60	90	60	90	1	5	11	baboon3	mosquito1	thornhulk1	unraveler3	fetishblow2	foulcrow4	mummy4	wraith4	wraith3	skmage_cold4																	baboon3	mosquito1	thornhulk1	unraveler3	fetishblow2	foulcrow4	mummy4	wraith4	wraith3	skmage_cold4																baboon3	mosquito1	thornhulk1	unraveler3	fetishblow2	foulcrow4	mummy4	wraith4	wraith3	skmage_cold4																snake	parrot			30	30							0	24	19	Spider Forest	To The Spider Forest	EnteringTheSpiderForest	31	43	40	52	69	0	0	0	50	15	45	35	30	0	0	0
Act 3 - Jungle 2	Great Marsh	77	2	2			57	64	192	64	192	64	192	-1	-1	0	1	1	1	0	0	1	1	0	0	3	21	-1	-1	-1	-1	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	1	0	2025	21	46	71	21	66	94	700	900	900	33	40	60	90	60	90	1	5	11	baboon3	mosquito1	thornhulk1	unraveler3	fetishblow2	foulcrow4	mummy4	wraith4	wraith3	skmage_cold4																	baboon3	mosquito1	thornhulk1	unraveler3	fetishblow2	foulcrow4	mummy4	wraith4	wraith3	skmage_cold4																baboon3	mosquito1	thornhulk1	unraveler3	fetishblow2	foulcrow4	mummy4	wraith4	wraith3	skmage_cold4																snake	parrot			30	30							0	24	20	Great Marsh	To The Great Marsh	EnteringTheGreatMarsh	31	43	40	52	69	0	0	0	50	15	45	35	30	0	0	0
Act 3 - Jungle 3	Flayer Jungle	78	2	2			57	64	192	64	192	64	192	-1	-1	0	1	1	1	0	0	1	1	0	0	3	21	-1	-1	-1	-1	86	88	0	0	0	0	0	0	53	54	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	1	0	2025	22	47	72	22	66	94	700	900	900	33	40	60	90	60	90	1	5	11	fetish3	fetishshaman3	fetish4	fetishshaman4	vulture4	frogdemon3	mummy4	wraith4	wraith3	skmage_cold4																	fetish3	fetishshaman3	fetish4	fetishshaman4	vulture4	frogdemon3	mummy4	wraith4	wraith3	skmage_cold4																fetish3	fetishshaman3	fetish4	fetishshaman4	vulture4	frogdemon3	mummy4	wraith4	wraith3	skmage_cold4																snake	parrot			30	30							0	24	21	Flayer Jungle	To The Flayer Jungle	EnteringTheFlayerJungle	31	43	40	52	43	69	0	0	50	15	45	35	50	25	0	0
Act 3 - Kurast 1	Lower Kurast	79	2	2			57	80	64	80	64	80	64	-1	-1	0	1	1	1	0	0	1	1	1	0	3	22	-1	-1	-1	-1	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	1	0	2025	22	47	72	22	68	94	700	900	900	33	40	42	54	42	54	1	0	11	baboon3	mosquito1	thornhulk1	unraveler3	fetishblow2	foulcrow4	mummy4	wraith4	wraith3	skmage_cold4																	baboon3	mosquito1	thornhulk1	unraveler3	fetishblow2	foulcrow4	mummy4	wraith4	wraith3	skmage_cold4																baboon3	mosquito1	thornhulk1	unraveler3	fetishblow2	foulcrow4	mummy4	wraith4	wraith3	skmage_cold4																snake	parrot			30	30							0	25	22	Lower Kurast	To Lower Kurast	EnteringLowerKurast	31	76	40	42	43	69	0	0	33	15	35	40	40	15	0	0
Act 3 - Kurast 2	Kurast Bazaar	80	2	2			57	80	64	80	64	80	64	-1	-1	0	1	1	1	0	0	1	1	1	0	3	22	-1	-1	-1	-1	92	92	94	95	0	0	0	0	57	57	61	61	-1	-1	-1	-1	0	0	0	0	0	0	1	0	2025	22	47	72	22	68	94	700	900	900	33	40	42	54	42	54	1	0	11	baboon3	mosquito1	thornhulk1	unraveler3	fetishblow2	foulcrow4	mummy4	wraith4	wraith3	skmage_cold4																	baboon3	mosquito1	thornhulk1	unraveler3	fetishblow2	foulcrow4	mummy4	wraith4	wraith3	skmage_cold4																baboon3	mosquito1	thornhulk1	unraveler3	fetishblow2	foulcrow4	mummy4	wraith4	wraith3	skmage_cold4																snake	parrot			30	30							0	25	23	Kurast Bazaar	To The Kurast Bazaar	EnteringTheKurastBazaar	31	76	40	42	43	69	0	0	33	15	45	50	50	25	0	0
Act 3 - Kurast 3	Upper Kurast	81	2	2			57	80	64	80	64	80	64	-1	-1	0	1	1	1	0	0	1	1	1	0	3	22	-1	-1	-1	-1	92	92	96	97	0	0	0	0	57	57	61	61	-1	-1	-1	-1	0	0	0	0	0	0	1	0	2025	23	48	73	23	68	94	700	900	900	33	40	42	54	42	54	1	0	11	baboon3	mosquito1	thornhulk1	unraveler3	fetishblow2	foulcrow4	mummy4	wraith4	wraith3	skmage_cold4																	baboon3	mosquito1	thornhulk1	unraveler3	fetishblow2	foulcrow4	mummy4	wraith4	wraith3	skmage_cold4																baboon3	mosquito1	thornhulk1	unraveler3	fetishblow2	foulcrow4	mummy4	wraith4	wraith3	skmage_cold4																snake	parrot			30	30							0	25	24	Upper Kurast	To Upper Kurast	EnteringUpperKurast	31	76	40	42	43	69	0	0	33	15	45	50	50	25	0	0
Act 3 - Kurast 4	Kurast Causeway	82	2	2			57	48	16	48	16	48	16	-1	-1	0	1	1	1	0	0	1	1	1	0	3	22	-1	-1	-1	-1	0	0	98	99	0	0	0	0	-1	-1	61	61	-1	-1	-1	-1	0	0	0	0	0	0	1	0	2025	24	49	74	24	69	94	700	900	900	33	40	42	54	42	54	1	0	11	baboon3	mosquito1	thornhulk1	unraveler3	fetishblow2	foulcrow4	mummy4	wraith4	wraith3	skmage_cold4																	baboon3	mosquito1	thornhulk1	unraveler3	fetishblow2	foulcrow4	mummy4	wraith4	wraith3	skmage_cold4																baboon3	mosquito1	thornhulk1	unraveler3	fetishblow2	foulcrow4	mummy4	wraith4	wraith3	skmage_cold4																snake	parrot			30	30							0	25	255	Kurast Causeway	To The Kurast Causeway	EnteringTheKurastCauseway	31	76	40	42	43	69	0	0	33	15	45	50	50	25	0	0
Act 3 - Travincal	Travincal	83	2	2			57	64	64	64	64	64	64	-1	-1	0	1	1	1	0	0	1	1	1	0	3	22	-1	-1	-1	-1	100	0	0	0	0	0	0	0	64	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	1	0	2025	24	49	74	24	70	94	700	900	900	33	40	36	48	36	48	1	0	11	baboon3	mosquito1	thornhulk1	unraveler3	fetishblow2	foulcrow4	mummy4	wraith4	wraith3	skmage_cold4																	baboon3	mosquito1	thornhulk1	unraveler3	fetishblow2	foulcrow4	mummy4	wraith4	wraith3	skmage_cold4																baboon3	mosquito1	thornhulk1	unraveler3	fetishblow2	foulcrow4	mummy4	wraith4	wraith3	skmage_cold4																snake	parrot			30	30							0	25	25	Travincal	To Travincal	EnteringTravincal	31	61	40	42	69	62	0	0	33	25	50	33	33	35	0	0
Act 3 - Spider 1	Arachnid Lair	84	2	2			58	200	200	200	200	200	200	1500	1000	0	1	0	0	0	1	1	1	0	1	1	23	-1	-1	-1	-1	0	76	0	0	0	0	0	0	-1	52	-1	-1	-1	-1	-1	-1	30	255	255	255	0	0	1	0	2025	21	46	71	21	66	94	700	900	900	33	40	36	48	36	48	1	0	11	arach1																										arach1																									arach1																									minispider				30								0	29	255	Spider Cave	To The Spider Cave	EnteringTheSpiderCave	0	2	68	62	0	0	0	0	35	35	35	35	0	0	0	0
Act 3 - Spider 2	Spider Cavern	85	2	2			59	200	200	200	200	200	200	1500	1300	0	1	0	0	0	1	1	1	0	1	1	23	-1	-1	-1	-1	0	76	0	0	0	0	0	0	-1	52	-1	-1	-1	-1	-1	-1	30	255	255	255	0	0	1	0	2025	21	46	71	21	66	94	700	900	900	33	40	24	30	24	30	1	0	11	arach1																										arach1																									arach1																									minispider				30								0	29	255	Spider Cavern	To The Spider Cavern	EnteringTheSpiderCavern	0	2	68	62	0	0	0	0	35	35	35	35	0	0	0	0
Act 3 - Dungeon 1 A	Swampy Pit Level 1	86	2	2			60	200	200	200	200	200	200	2000	1000	0	1	0	0	0	1	1	1	0	1	1	24	-1	-1	-1	-1	87	78	0	0	0	0	0	0	56	55	-1	-1	-1	-1	-1	-1	0	255	255	255	0	0	1	0	1000	21	46	71	21	67	94	700	900	900	33	40	36	48	36	48	1	0	11	mummy4	bonefetish4	batdemon2	willowisp1	zombie4	wraith4	blunderbore2	vampire2	vampire1																		mummy4	bonefetish4	batdemon2	willowisp1	bonefetish5	zombie4	wraith4	blunderbore2	vampire2	vampire1																mummy4	bonefetish4	batdemon2	willowisp1	bonefetish5	zombie4	wraith4	blunderbore2	vampire2	vampire1																rat				30								0	27	255	Swampy Pit Level 1	To The Swampy Pit Level 1	EnteringTheSwampyPitLevel1	66	67	62	64	72	0	0	0	80	80	35	35	35	0	0	0
