Treasure Class	group	level	Picks	Unique	Set	Rare	Magic	NoDrop	Item1	Prob1	Item2	Prob2	Item3	Prob3	Item4	Prob4	Item5	Prob5	Item6	Prob6	Item7	Prob7	Item8	Prob8	Item9	Prob9	Item10	Prob10	*ItemProbSum	*ItemProbTotal	*TreasureClassDropChance	firstLadderSeason	lastLadderSeason	noAlwaysSpawn	*eol
Act 3 (H) Cast A	8	99	1	375	1	180		77	gld	9	Act 3 (H) Equip A	15	Act 1 (H) Junk	1	Act 3 (H) Good	2	Act 3 (H) Magic A	7																	0
Act 3 (H) Cast B	8	99	1	375	1	180		77	gld	9	Act 3 (H) Equip B	15	Act 1 (H) Junk	1	Act 3 (H) Good	2	Act 3 (H) Magic B	7																	0
Act 3 (H) Cast C	8	99	1	375	1	180		77	gld	9	Act 3 (H) Equip B	15	Act 1 (H) Junk	1	Act 3 (H) Good	2	Act 3 (H) Magic B	7																	0
Act 4 (H) Cast A	8	99	1	375	1	180		40	gld	9	Act 4 (H) Equip A	15	Act 1 (H) Junk	1	Act 4 (H) Good	2	Act 4 (H) Magic A	7																	0
Act 4 (H) Cast B	8	99	1	375	1	180		40	gld	9	Act 4 (H) Equip B	15	Act 1 (H) Junk	1	Act 4 (H) Good	2	Act 4 (H) Magic B	7																	0
Act 5 (H) Cast A	8	99	1	375	1	180		30	gld	9	Act 5 (H) Equip A	15	Act 1 (H) Junk	1	Act 5 (H) Good	2	Act 5 (H) Magic A	7																	0
Act 5 (H) Cast B	8	99	1	375	1	180		30	gld	9	Act 5 (H) Equip B	15	Act 1 (H) Junk	1	Act 5 (H) Good	2	Act 5 (H) Magic B	7																	0
Act 5 (H) Cast C	8	99	1	375	1	180		30	gld	9	Act 5 (H) Equip C	15	Act 1 (H) Junk	1	Act 5 (H) Good	2	Act 5 (H) Magic B	7																	0
Act 1 Miss A	9	0	1	375	1	180		77	gld	9	Act 1 Equip A	13	Act 1 Junk	1	Act 1 Good	2	Act 1 Bow A	6	Ammo	3															0
Act 1 Miss B	9	5	1	375	1	180		77	gld	9	Act 1 Equip B	13	Act 1 Junk	1	Act 1 Good	2	Act 1 Bow B	6	Ammo	3															0
Act 1 Miss C	9	9	1	375	1	180		77	gld	9	Act 1 Equip C	13	Act 1 Junk	1	Act 1 Good	2	Act 1 Bow C	6	Ammo	3															0
Act 2 Miss A	9	12	1	375	1	180		77	gld	9	Act 2 Equip A	13	Act 2 Junk	1	Act 2 Good	2	Act 2 Bow A	6	Ammo	3															0
Act 2 Miss B	9	15	1	375	1	180		77	gld	9	Act 2 Equip B	13	Act 2 Junk	1	Act 2 Good	2	Act 2 Bow B	6	Ammo	3															0
Act 2 Miss C	9	18	1	375	1	180		77	gld	9	Act 2 Equip C	13	Act 2 Junk	1	Act 3 Good	2	Act 2 Bow C	6	Ammo	3															0
Act 3 Miss A	9	20	1	375	1	180		77	gld	9	Act 3 Equip A	13	Act 3 Junk	1	Act 3 Good	2	Act 3 Bow A	6	Ammo	3															0
Act 3 Miss B	9	22	1	375	1	180		77	gld	9	Act 3 Equip B	13	Act 3 Junk	1	Act 3 Good	2	Act 3 Bow B	6	Ammo	3															0
Act 3 Miss C	9	24	1	375	1	180		77	gld	9	Act 3 Equip C	13	Act 3 Junk	1	Act 3 Good	2	Act 3 Bow C	6	Ammo	3															0
Act 4 Miss A	9	26	1	375	1	180		77	gld	9	Act 4 Equip A	13	Act 4 Junk	1	Act 4 Good	2	Act 4 Bow A	6	Ammo	3															0
Act 4 Miss B	9	29	1	375	1	180		77	gld	9	Act 4 Equip B	13	Act 4 Junk	1	Act 4 Good	2	Act 4 Bow B	6	Ammo	3															0
Act 5 Miss A	9	32	1	375	1	180		77	gld	9	Act 5 Equip A	13	Act 5 Junk	1	Act 5 Good	2	Act 5 Bow A	6	Ammo	3															0
Act 5 Miss B	9	34	1	375	1	180		77	gld	9	Act 5 Equip B	13	Act 5 Junk	1	Act 5 Good	2	Act 5 Bow B	6	Ammo	3															0
Act 5 Miss C	9	36	1	375	1	180		77	gld	9	Act 5 Equip C	13	Act 5 Junk	1	Act 5 Good	2	Act 5 Bow B	6	Ammo	3															0
Act 1 (N) Miss A	9	38	1	375	1	180		77	gld	9	Act 1 (N) Equip A	13	Act 1 (N) Junk	1	Act 1 (N) Good	2	Act 1 (N) Bow A	6	Ammo	3															0
Act 1 (N) Miss B	9	40	1	375	1	180		77	gld	9	Act 1 (N) Equip B	13	Act 1 (N) Junk	1	Act 1 (N) Good	2	Act 1 (N) Bow B	6	Ammo	3															0
Act 1 (N) Miss C	9	41	1	375	1	180		77	gld	9	Act 1 (N) Equip B	13	Act 1 (N) Junk	1	Act 1 (N) Good	2	Act 1 (N) Bow B	6	Ammo	3															0
Act 2 (N) Miss A	9	42	1	375	1	180		77	gld	9	Act 2 (N) Equip A	13	Act 2 (N) Junk	1	Act 2 (N) Good	2	Act 2 (N) Bow A	6	Ammo	3															0
Act 2 (N) Miss B	9	44	1	375	1	180		77	gld	9	Act 2 (N) Equip B	13	Act 2 (N) Junk	1	Act 2 (N) Good	2	Act 2 (N) Bow B	6	Ammo	3															0
Act 2 (N) Miss C	9	45	1	375	1	180		77	gld	9	Act 2 (N) Equip B	13	Act 2 (N) Junk	1	Act 2 (N) Good	2	Act 2 (N) Bow B	6	Ammo	3															0
Act 3 (N) Miss A	9	46	1	375	1	180		77	gld	9	Act 3 (N) Equip A	13	Act 3 (N) Junk	1	Act 3 (N) Good	2	Act 3 (N) Bow A	6	Ammo	3															0
Act 3 (N) Miss B	9	48	1	375	1	180		77	gld	9	Act 3 (N) Equip B	13	Act 3 (N) Junk	1	Act 3 (N) Good	2	Act 3 (N) Bow B	6	Ammo	3															0
Act 3 (N) Miss C	9	50	1	375	1	180		77	gld	9	Act 3 (N) Equip B	13	Act 3 (N) Junk	1	Act 3 (N) Good	2	Act 3 (N) Bow B	6	Ammo	3															0
Act 4 (N) Miss A	9	51	1	375	1	180		77	gld	9	Act 4 (N) Equip A	13	Act 4 (N) Junk	1	Act 4 (N) Good	2	Act 4 (N) Bow A	6	Ammo	3															0
Act 4 (N) Miss B	9	54	1	375	1	180		77	gld	9	Act 4 (N) Equip B	13	Act 4 (N) Junk	1	Act 4 (N) Good	2	Act 4 (N) Bow B	6	Ammo	3															0
Act 5 (N) Miss A	9	57	1	375	1	180		77	gld	9	Act 5 (N) Equip A	13	Act 5 (N) Junk	1	Act 5 (N) Good	2	Act 5 (N) Bow A	6	Ammo	3															0
Act 5 (N) Miss B	9	60	1	375	1	180		77	gld	9	Act 5 (N) Equip B	13	Act 5 (N) Junk	1	Act 5 (N) Good	2	Act 5 (N) Bow B	6	Ammo	3															0
Act 5 (N) Miss C	9	62	1	375	1	180		77	gld	9	Act 5 (N) Equip C	13	Act 5 (N) Junk	1	Act 5 (N) Good	2	Act 5 (N) Bow B	6	Ammo	3															0
Act 1 (H) Miss A	9	99	1	375	1	100		77	gld	9	Act 1 (H) Equip A	13	Act 1 (H) Junk	1	Act 1 (H) Good	2	Act 1 (H) Bow A	6	Ammo	3															0
Act 1 (H) Miss B	9	99	1	375	1	100		77	gld	9	Act 1 (H) Equip B	13	Act 1 (H) Junk	1	Act 1 (H) Good	2	Act 1 (H) Bow B	6	Ammo	3															0
Act 1 (H) Miss C	9	99	1	375	1	100		77	gld	9	Act 1 (H) Equip B	13	Act 1 (H) Junk	1	Act 1 (H) Good	2	Act 1 (H) Bow B	6	Ammo	3															0
Act 2 (H) Miss A	9	99	1	375	1	100		77	gld	9	Act 2 (H) Equip A	13	Act 1 (H) Junk	1	Act 2 (H) Good	2	Act 2 (H) Bow A	6	Ammo	3															0
Act 2 (H) Miss B	9	99	1	375	1	100		77	gld	9	Act 2 (H) Equip B	13	Act 1 (H) Junk	1	Act 2 (H) Good	2	Act 2 (H) Bow B	6	Ammo	3															0
Act 2 (H) Miss C	9	99	1	375	1	100		77	gld	9	Act 2 (H) Equip B	13	Act 1 (H) Junk	1	Act 2 (H) Good	2	Act 2 (H) Bow B	6	Ammo	3															0
Act 3 (H) Miss A	9	99	1	375	1	100		77	gld	9	Act 3 (H) Equip A	13	Act 1 (H) Junk	1	Act 3 (H) Good	2	Act 3 (H) Bow A	6	Ammo	3															0
Act 3 (H) Miss B	9	99	1	375	1	100		77	gld	9	Act 3 (H) Equip B	13	Act 1 (H) Junk	1	Act 3 (H) Good	2	Act 3 (H) Bow B	6	Ammo	3															0
Act 3 (H) Miss C	9	99	1	375	1	100		77	gld	9	Act 3 (H) Equip B	13	Act 1 (H) Junk	1	Act 3 (H) Good	2	Act 3 (H) Bow B	6	Ammo	3															0
Act 4 (H) Miss A	9	99	1	375	1	100		30	gld	9	Act 4 (H) Equip A	13	Act 1 (H) Junk	1	Act 4 (H) Good	2	Act 4 (H) Bow A	6	Ammo	3															0
Act 4 (H) Miss B	9	99	1	375	1	100		30	gld	9	Act 4 (H) Equip B	13	Act 1 (H) Junk	1	Act 4 (H) Good	2	Act 4 (H) Bow B	6	Ammo	3															0
Act 5 (H) Miss A	9	99	1	375	1	100		30	gld	9	Act 5 (H) Equip A	13	Act 1 (H) Junk	1	Act 5 (H) Good	2	Act 5 (H) Bow A	6	Ammo	3															0
Act 5 (H) Miss B	9	99	1	375	1	100		30	gld	9	Act 5 (H) Equip B	13	Act 1 (H) Junk	1	Act 5 (H) Good	2	Act 5 (H) Bow B	6	Ammo	3															0
Act 5 (H) Miss C	9	99	1	375	1	100		30	gld	9	Act 5 (H) Equip C	13	Act 1 (H) Junk	1	Act 5 (H) Good	2	Act 5 (H) Bow B	6	Ammo	3															0
Act 1 Wraith A	10	0	1	375	1	100		59	Act 1 Good	6	Act 1 Magic A	25																							0
Act 1 Wraith B	10	5	1	375	1	100		59	Act 1 Good	6	Act 1 Magic B	25																							0
Act 1 Wraith C	10	9	1	375	1	100		59	Act 1 Good	6	Act 1 Magic C	25																							0
Act 2 Wraith A	10	12	1	375	1	100		59	Act 2 Good	6	Act 2 Magic A	25																							0
Act 2 Wraith B	10	15	1	375	1	100		59	Act 2 Good	6	Act 2 Magic B	25																							0
Act 2 Wraith C	10	18	1	375	1	100		59	Act 3 Good	6	Act 2 Magic C	25																							0
Act 3 Wraith A	10	20	1	375	1	100		59	Act 3 Good	6	Act 3 Magic A	25																							0
Act 3 Wraith B	10	22	1	375	1	100		59	Act 3 Good	6	Act 3 Magic B	25																							0
Act 3 Wraith C	10	24	1	375	1	100		59	Act 3 Good	6	Act 3 Magic C	25																							0
Act 4 Wraith A	10	26	1	375	1	100		59	Act 4 Good	6	Act 4 Magic A	25																							0
Act 4 Wraith B	10	29	1	375	1	100		59	Act 4 Good	6	Act 4 Magic B	25																							0
Act 5 Wraith A	10	32	1	375	1	100		59	Act 5 Good	6	Act 5 Magic A	25																							0
Act 5 Wraith B	10	34	1	375	1	100		59	Act 5 Good	6	Act 5 Magic B	25																							0
Act 5 Wraith C	10	36	1	375	1	100		59	Act 5 Good	6	Act 5 Magic C	25																							0
Act 1 (N) Wraith A	10	38	1	375	1	100		59	Act 1 (N) Good	6	Act 1 (N) Magic A	25																							0
Act 1 (N) Wraith B	10	40	1	375	1	100		59	Act 1 (N) Good	6	Act 1 (N) Magic B	25																							0
Act 1 (N) Wraith C	10	41	1	375	1	100		59	Act 1 (N) Good	6	Act 1 (N) Magic B	25																							0
Act 2 (N) Wraith A	10	42	1	375	1	100		59	Act 2 (N) Good	6	Act 2 (N) Magic A	25																							0
Act 2 (N) Wraith B	10	44	1	375	1	100		59	Act 2 (N) Good	6	Act 2 (N) Magic B	25																							0
Act 2 (N) Wraith C	10	45	1	375	1	100		59	Act 2 (N) Good	6	Act 2 (N) Magic B	25																							0
Act 3 (N) Wraith A	10	46	1	375	1	100		59	Act 3 (N) Good	6	Act 3 (N) Magic A	25																							0
Act 3 (N) Wraith B	10	48	1	375	1	100		59	Act 3 (N) Good	6	Act 3 (N) Magic B	25																							0
Act 3 (N) Wraith C	10	50	1	375	1	100		59	Act 3 (N) Good	6	Act 3 (N) Magic B	25																							0
Act 4 (N) Wraith A	10	51	1	375	1	100		59	Act 4 (N) Good	6	Act 4 (N) Magic A	25																							0
Act 4 (N) Wraith B	10	54	1	375	1	100		59	Act 4 (N) Good	6	Act 4 (N) Magic B	25																							0
Act 5 (N) Wraith A	10	57	1	375	1	100		59	Act 5 (N) Good	6	Act 5 (N) Magic A	25																							0
Act 5 (N) Wraith B	10	60	1	375	1	100		59	Act 5 (N) Good	6	Act 5 (N) Magic B	25																							0
Act 5 (N) Wraith C	10	62	1	375	1	100		59	Act 5 (N) Good	6	Act 5 (N) Magic C	25																							0
Act 1 (H) Wraith A	10	63	1	375	1	100		59	Act 1 (H) Good	6	Act 1 (H) Magic A	25	lr1	1																					0
Act 1 (H) Wraith B	10	66	1	375	1	100		59	Act 1 (H) Good	6	Act 1 (H) Magic B	25	lr1	1																					0
Act 1 (H) Wraith C	10	68	1	375	1	100		59	Act 1 (H) Good	6	Act 1 (H) Magic B	25	lr1	1																					0
Act 2 (H) Wraith A	10	99	1	375	1	100		59	Act 2 (H) Good	6	Act 2 (H) Magic A	25	lr1	1																					0
Act 2 (H) Wraith B	10	99	1	375	1	100		59	Act 2 (H) Good	6	Act 2 (H) Magic B	25	lr1	1																					0
Act 2 (H) Wraith C	10	99	1	375	1	100		59	Act 2 (H) Good	6	Act 2 (H) Magic B	25	lr1	1																					0
Act 3 (H) Wraith A	10	99	1	375	1	100		59	Act 3 (H) Good	6	Act 3 (H) Magic A	25	lr1	1																					0
Act 3 (H) Wraith B	10	99	1	375	1	100		59	Act 3 (H) Good	6	Act 3 (H) Magic B	25	lr1	1																					0
Act 3 (H) Wraith C	10	99	1	375	1	100		59	Act 3 (H) Good	6	Act 3 (H) Magic B	25	lr1	1																					0
Act 4 (H) Wraith A	10	99	1	375	1	100		59	Act 4 (H) Good	6	Act 4 (H) Magic A	25	lr1	3																					0
Act 4 (H) Wraith B	10	99	1	375	1	100		59	Act 4 (H) Good	6	Act 4 (H) Magic B	25	lr1	3																					0
Act 5 (H) Wraith A	10	99	1	375	1	100		59	Act 5 (H) Good	6	Act 5 (H) Magic A	25	lr1	3																					0
Act 5 (H) Wraith B	10	99	1	375	1	100		59	Act 5 (H) Good	6	Act 5 (H) Magic B	25	lr1	3																					0
Act 5 (H) Wraith C	10	99	1	375	1	100		59	Act 5 (H) Good	6	Act 5 (H) Magic C	25	lr1	3																					0
Act 1 Citem A	11	0	1	375	1	100			"gld,mul=1280"	31	Act 1 Equip A	37	Act 1 Good	4																					0
Act 1 Citem B	11	5	1	375	1	100			"gld,mul=1280"	31	Act 1 Equip B	37	Act 1 Good	4																					0
Act 1 Citem C	11	9	1	375	1	100			"gld,mul=1280"	31	Act 1 Equip C	37	Act 1 Good	4																					0
Act 2 Citem A	11	12	1	375	1	100			"gld,mul=1280"	31	Act 2 Equip A	37	Act 2 Good	4																					0
Act 2 Citem B	11	15	1	375	1	100			"gld,mul=1280"	31	Act 2 Equip B	37	Act 2 Good	4																					0
Act 2 Citem C	11	18	1	375	1	100			"gld,mul=1280"	31	Act 2 Equip C	37	Act 3 Good	4																					0
Act 3 Citem A	11	20	1	375	1	100			"gld,mul=1280"	31	Act 3 Equip A	37	Act 3 Good	4																					0
Act 3 Citem B	11	22	1	375	1	100			"gld,mul=1280"	31	Act 3 Equip B	37	Act 3 Good	4																					0
Act 3 Citem C	11	24	1	375	1	100			"gld,mul=1280"	31	Act 3 Equip C	37	Act 3 Good	4																					0
Act 4 Citem A	11	26	1	375	1	100			"gld,mul=1280"	31	Act 4 Equip A	37	Act 4 Good	4																					0
Act 4 Citem B	11	29	1	375	1	100			"gld,mul=1280"	31	Act 4 Equip B	37	Act 4 Good	4																					0
Act 5 Citem A	11	32	1	819	0	0		69	"gld,mul=1280"	31	Act 5 Equip A	37	Act 5 Good	4																					0
Act 5 Citem B	11	34	1	819	0	0		69	"gld,mul=1280"	31	Act 5 Equip B	37	Act 5 Good	4																					0
Act 5 Citem C	11	36	1	819	0	0		69	"gld,mul=1280"	31	Act 5 Equip C	37	Act 5 Good	4																					0
Act 1 (N) Citem A	11	38	1	819	0	0		69	"gld,mul=1280"	31	Act 1 (N) Equip A	37	Act 1 (N) Good	4																					0
Act 1 (N) Citem B	11	40	1	819	0	0		69	"gld,mul=1280"	31	Act 1 (N) Equip B	37	Act 1 (N) Good	4																					0
Act 1 (N) Citem C	11	41	1	819	0	0		69	"gld,mul=1280"	31	Act 1 (N) Equip B	37	Act 1 (N) Good	4																					0
Act 2 (N) Citem A	11	42	1	819	0	0		69	"gld,mul=1280"	31	Act 2 (N) Equip A	37	Act 2 (N) Good	4																					0
Act 2 (N) Citem B	11	44	1	819	0	0		69	"gld,mul=1280"	31	Act 2 (N) Equip B	37	Act 2 (N) Good	4																					0
Act 2 (N) Citem C	11	45	1	819	0	0		69	"gld,mul=1280"	31	Act 2 (N) Equip B	37	Act 2 (N) Good	4																					0
Act 3 (N) Citem A	11	46	1	819	0	0		69	"gld,mul=1280"	31	Act 3 (N) Equip A	37	Act 3 (N) Good	4																					0
Act 3 (N) Citem B	11	48	1	819	0	0		69	"gld,mul=1280"	31	Act 3 (N) Equip B	37	Act 3 (N) Good	4																					0
Act 3 (N) Citem C	11	50	1	819	0	0		69	"gld,mul=1280"	31	Act 3 (N) Equip B	37	Act 3 (N) Good	4																					0
Act 4 (N) Citem A	11	51	1	819	0	0		69	"gld,mul=1280"	31	Act 4 (N) Equip A	37	Act 4 (N) Good	4																					0
Act 4 (N) Citem B	11	54	1	819	0	0		69	"gld,mul=1280"	31	Act 4 (N) Equip B	37	Act 4 (N) Good	4																					0
Act 5 (N) Citem A	11	57	1	819	0	0		69	"gld,mul=1280"	31	Act 5 (N) Equip A	37	Act 5 (N) Good	4																					0
Act 5 (N) Citem B	11	60	1	819	0	0		69	"gld,mul=1280"	31	Act 5 (N) Equip B	37	Act 5 (N) Good	4																					0
Act 5 (N) Citem C	11	62	1	819	0	0		69	"gld,mul=1280"	31	Act 5 (N) Equip C	37	Act 5 (N) Good	4																					0
Act 1 (H) Citem A	11	63	1	819	0	0		69	"gld,mul=1280"	31	Act 1 (H) Equip A	37	Act 1 (H) Good	4																					0
Act 1 (H) Citem B	11	66	1	819	0	0		69	"gld,mul=1280"	31	Act 1 (H) Equip B	37	Act 1 (H) Good	4																					0
Act 1 (H) Citem C	11	68	1	819	0	0		69	"gld,mul=1280"	31	Act 1 (H) Equip B	37	Act 1 (H) Good	4																					0
Act 2 (H) Citem A	11	69	1	819	0	0		69	"gld,mul=1280"	31	Act 2 (H) Equip A	37	Act 2 (H) Good	4																					0
Act 2 (H) Citem B	11	71	1	819	0	0		69	"gld,mul=1280"	31	Act 2 (H) Equip B	37	Act 2 (H) Good	4																					0
Act 2 (H) Citem C	11	72	1	819	0	0		69	"gld,mul=1280"	31	Act 2 (H) Equip B	37	Act 2 (H) Good	4																					0
Act 3 (H) Citem A	11	74	1	819	0	0		69	"gld,mul=1280"	31	Act 3 (H) Equip A	37	Act 3 (H) Good	4																					0
Act 3 (H) Citem B	11	75	1	819	0	0		69	"gld,mul=1280"	31	Act 3 (H) Equip B	37	Act 3 (H) Good	4																					0
Act 3 (H) Citem C	11	77	1	819	0	0		69	"gld,mul=1280"	31	Act 3 (H) Equip B	37	Act 3 (H) Good	4																					0
Act 4 (H) Citem A	11	78	1	819	0	0		40	"gld,mul=1280"	31	Act 4 (H) Equip A	37	Act 4 (H) Good	4																					0
Act 4 (H) Citem B	11	80	1	819	0	0		40	"gld,mul=1280"	31	Act 4 (H) Equip B	37	Act 4 (H) Good	4																					0
Act 5 (H) Citem A	11	81	1	819	0	0		40	"gld,mul=1280"	31	Act 5 (H) Equip A	37	Act 5 (H) Good	4																					0
Act 5 (H) Citem B	11	83	1	819	0	0		40	"gld,mul=1280"	31	Act 5 (H) Equip B	37	Act 5 (H) Good	4																					0
Act 5 (H) Citem C	11	85	1	819	0	0		40	"gld,mul=1280"	31	Act 5 (H) Equip C	37	Act 5 (H) Good	4																					0
Act 1 Cpot A	12	0	2	819	0	0		69	Hpotion 1	1																									0
Act 1 Cpot B	12	5	2	819	0	0		69	Hpotion 1	1																									0
Act 1 Cpot C	12	9	2	819	0	0		69	Hpotion 1	1																									0
Act 2 Cpot A	12	12	2	819	0	0		69	Hpotion 2	1																									0
Act 2 Cpot B	12	15	2	819	0	0		69	Hpotion 2	1																									0
Act 2 Cpot C	12	18	2	819	0	0		69	Hpotion 2	1																									0
Act 3 Cpot A	12	20	2	819	0	0		69	Hpotion 3	1																									0
Act 3 Cpot B	12	22	2	819	0	0		69	Hpotion 3	1																									0
Act 3 Cpot C	12	24	2	819	0	0		69	Hpotion 3	1																									0
Act 4 Cpot A	12	26	2	819	0	0		69	Hpotion 3	1	Hpotion 4	2																							0
Act 4 Cpot B	12	29	2	819	0	0		69	Hpotion 3	1	Hpotion 4	2																							0
Act 5 Cpot A	12	32	2	819	0	0		69	Hpotion 4	1	Hpotion 5	2																							0
Act 5 Cpot B	12	34	2	819	0	0		69	Hpotion 4	1	Hpotion 5	2																							0
Act 5 Cpot C	12	36	2	819	0	0		69	Hpotion 4	1	Hpotion 5	2																							0
Act 1 (N) Cpot A	12	38	2	819	0	0		69	Hpotion 4	1	Hpotion 5	2	Hpotion 6	4																					0
Act 1 (N) Cpot B	12	40	2	819	0	0		69	Hpotion 4	1	Hpotion 5	2	Hpotion 6	4																					0
Act 1 (N) Cpot C	12	41	2	819	0	0		69	Hpotion 4	1	Hpotion 5	2	Hpotion 6	4																					0
Act 2 (N) Cpot A	12	42	2	819	0	0		69	Hpotion 4	1	Hpotion 5	2	Hpotion 6	4																					0
Act 2 (N) Cpot B	12	44	2	819	0	0		69	Hpotion 4	1	Hpotion 5	2	Hpotion 6	4																					0
Act 2 (N) Cpot C	12	45	2	819	0	0		69	Hpotion 4	1	Hpotion 5	2	Hpotion 6	4																					0
Act 3 (N) Cpot A	12	46	2	819	0	0		69	rvs	1	Hpotion 4	2	Hpotion 5	4	Hpotion 6	8																			0
Act 3 (N) Cpot B	12	48	2	819	0	0		69	rvs	1	Hpotion 4	2	Hpotion 5	4	Hpotion 6	8																			0
Act 3 (N) Cpot C	12	50	2	819	0	0		69	rvs	1	Hpotion 4	2	Hpotion 5	4	Hpotion 6	8																			0
Act 4 (N) Cpot A	12	51	2	819	0	0		69	rvs	1	Hpotion 4	2	Hpotion 5	4	Hpotion 6	8																			0
Act 4 (N) Cpot B	12	54	2	819	0	0		69	rvs	1	Hpotion 4	2	Hpotion 5	4	Hpotion 6	8																			0
Act 5 (N) Cpot A	12	57	2	819	0	0		69	rvs	1	Hpotion 4	2	Hpotion 5	4	Hpotion 6	8																			0
Act 5 (N) Cpot B	12	60	2	819	0	0		69	rvs	1	Hpotion 4	2	Hpotion 5	4	Hpotion 6	8																			0
Act 5 (N) Cpot C	12	62	2	819	0	0		69	rvs	1	Hpotion 4	2	Hpotion 5	4	Hpotion 6	8																			0
Act 1 (H) Cpot A	12	63	2	819	0	0		69	rvl	1	Hpotion 4	2	Hpotion 5	4	Hpotion 6	8																			0
Act 1 (H) Cpot B	12	66	2	819	0	0		69	rvl	1	Hpotion 4	2	Hpotion 5	4	Hpotion 6	8																			0
Act 1 (H) Cpot C	12	68	2	819	0	0		69	rvl	1	Hpotion 4	2	Hpotion 5	4	Hpotion 6	8																			0
Act 2 (H) Cpot A	12	69	2	819	0	0		69	rvl	1	Hpotion 4	2	Hpotion 5	4	Hpotion 6	8																			0
Act 2 (H) Cpot B	12	71	2	819	0	0		69	rvl	1	Hpotion 4	2	Hpotion 5	4	Hpotion 6	8																			0
Act 2 (H) Cpot C	12	72	2	819	0	0		69	rvl	1	Hpotion 4	2	Hpotion 5	4	Hpotion 6	8																			0
Act 3 (H) Cpot A	12	74	2	819	0	0		69	rvl	1	Hpotion 4	2	Hpotion 5	4	Hpotion 6	8																			0
Act 3 (H) Cpot B	12	75	2	819	0	0		69	rvl	1	Hpotion 4	2	Hpotion 5	4	Hpotion 6	8																			0
Act 3 (H) Cpot C	12	77	2	819	0	0		69	rvl	1	Hpotion 4	2	Hpotion 5	4	Hpotion 6	8																			0
Act 4 (H) Cpot A	12	78	2	819	0	0		69	rvl	1	Hpotion 4	2	Hpotion 5	4	Hpotion 6	8																			0
Act 4 (H) Cpot B	12	80	2	819	0	0		69	rvl	1	Hpotion 4	2	Hpotion 5	4	Hpotion 6	8																			0
Act 5 (H) Cpot A	12	81	2	819	0	0		69	rvl	1	Hpotion 4	2	Hpotion 5	4	Hpotion 6	8																			0
Act 5 (H) Cpot B	12	83	2	819	0	0		69	rvl	1	Hpotion 4	2	Hpotion 5	4	Hpotion 6	8																			0
Act 5 (H) Cpot C	12	85	2	819	0	0		69	rvl	1	Hpotion 4	2	Hpotion 5	4	Hpotion 6	8																			0
Act 1 Champ A	13	0	-4	819	0	0		69	Act 1 Citem A	2	Act 1 Cpot A	1																							0
Act 1 Champ B	13	5	-4	819	0	0		69	Act 1 Citem B	2	Act 1 Cpot B	1																							0
Act 1 Champ C	13	9	-4	819	0	0		69	Act 1 Citem C	2	Act 1 Cpot C	1																							0
Act 2 Champ A	13	12	-4	819	0	0		69	Act 2 Citem A	2	Act 2 Cpot A	1																							0
Act 2 Champ B	13	15	-4	819	0	0		69	Act 2 Citem B	2	Act 2 Cpot B	1																							0
Act 2 Champ C	13	18	-4	819	0	0		69	Act 2 Citem C	2	Act 2 Cpot C	1																							0
Act 3 Champ A	13	20	-4	819	0	0		69	Act 3 Citem A	2	Act 3 Cpot A	1																							0
Act 3 Champ B	13	22	-4	819	0	0		69	Act 3 Citem B	2	Act 3 Cpot B	1																							0
Act 3 Champ C	13	24	-4	819	0	0		69	Act 3 Citem C	2	Act 3 Cpot C	1																							0
Act 4 Champ A	13	26	-4	819	0	0		69	Act 4 Citem A	2	Act 4 Cpot A	1																							0
Act 4 Champ B	13	29	-4	819	0	0		69	Act 4 Citem B	2	Act 4 Cpot B	1																							0
Act 5 Champ A	13	32	-4	819	0	0		69	Act 5 Citem A	2	Act 5 Cpot A	1																							0
Act 5 Champ B	13	34	-4	819	0	0		69	Act 5 Citem B	2	Act 5 Cpot B	1																							0
Act 5 Champ C	13	36	-4	819	0	0		69	Act 5 Citem C	2	Act 5 Cpot C	1																							0
Act 1 (N) Champ A	13	38	-4	819	0	0		69	Act 1 (N) Citem A	2	Act 1 (N) Cpot A	1																							0
Act 1 (N) Champ B	13	40	-4	819	0	0		69	Act 1 (N) Citem B	2	Act 1 (N) Cpot B	1																							0
Act 1 (N) Champ C	13	41	-4	819	0	0		69	Act 1 (N) Citem C	2	Act 1 (N) Cpot C	1																							0
Act 2 (N) Champ A	13	42	-4	819	0	0		69	Act 2 (N) Citem A	2	Act 2 (N) Cpot A	1																							0
Act 2 (N) Champ B	13	44	-4	819	0	0		69	Act 2 (N) Citem B	2	Act 2 (N) Cpot B	1																							0
Act 2 (N) Champ C	13	45	-4	819	0	0		69	Act 2 (N) Citem C	2	Act 2 (N) Cpot C	1																							0
Act 3 (N) Champ A	13	46	-4	819	0	0		69	Act 3 (N) Citem A	2	Act 3 (N) Cpot A	1																							0
Act 3 (N) Champ B	13	48	-4	819	0	0		69	Act 3 (N) Citem B	2	Act 3 (N) Cpot B	1																							0
Act 3 (N) Champ C	13	50	-4	819	0	0		69	Act 3 (N) Citem C	2	Act 3 (N) Cpot C	1																							0
Act 4 (N) Champ A	13	51	-4	819	0	0		69	Act 4 (N) Citem A	2	Act 4 (N) Cpot A	1																							0
Act 4 (N) Champ B	13	54	-4	819	0	0		69	Act 4 (N) Citem B	2	Act 4 (N) Cpot B	1																							0
