index	*ID	*order	*copied	*legendary	version	enabled	ladder	rarity	nolimit	lvl	lvl req	code	*ItemName	carry1	cost mult	cost add	chrtransform	invtransform	flippyfile	invfile	dropsound	dropsfxframe	usesound	prop1	par1	min1	max1	prop2	par2	min2	max2	prop3	par3	min3	max3	prop4	par4	min4	max4	prop5	par5	min5	max5	prop6	par6	min6	max6	prop7	par7	min7	max7	prop8	par8	min8	max8	prop9	par9	min9	max9	prop10	par10	min10	max10	prop11	par11	min11	max11	prop12	par12	min12	max12	diablocloneweight	*eol
Auradin's Trinket	760	760	1	1	100	1		8	1	97	97	amu	Amulet		5	5000	lgld							synergybonus-paladinelementalauradamage		100	150	hp		350	500	enr		1	40	extra-fire		1	50	extra-cold		1	50	extra-ltng		1	50	skillmod-auracooldownelemental		5	5	pal		4	4	prop-Torment		7	8	ignore-ac		1	1	enr%		4	5	oskill	Ravager	10	10		0
Auradin's Trinket	761	761	1	1	100	1		4	1	98	98	amu	Amulet		5	5000	lgld							synergybonus-paladinelementalauradamage		100	170	hp		350	550	enr		1	50	extra-fire		1	55	extra-cold		1	55	extra-ltng		1	55	skillmod-auracooldownelemental		5	5	pal		4	4	prop-Torment		9	10	ignore-ac		1	1	enr%		5	6	oskill	Ravager	10	10		0
Auradin's Trinket	762	762	1	1	100	1		1	1	97	97	cm4	effigy	1	5	5000	lgld							synergybonus-paladinelementalauradamage		100	130	hp		350	450	enr		1	30	extra-fire		1	45	extra-cold		1	45	extra-ltng		1	45	skillmod-auracooldownelemental		5	5	pal		1	1	prop-Torment		3	4	ignore-ac		1	1	enr%		3	4	oskill	Ravager	5	5		0
Grand Protector Of The Maiden	763	763	1	1	100	1		16	1	93	93	amu	Amulet		5	5000	lpur							prop-lifeandmanaafterkilltospearmaiden		400	600	prop-Torment		3	4	oskill	Wind Strike	3	3	oskill	Shattering Javelin	3	3	oskill	Flaming Spears	3	3	oskill	Lightning Fury	3	3	oskill	Fan of Glaives	3	3	aura	Master Of Magic	2	3	prop-spearsynergy		70	90	ignore-ac		1	1	pierce-immunity-damage		10	14						0
Grand Protector Of The Maiden	764	764	1	1	100	1		12	1	95	95	amu	Amulet		5	5000	lpur							prop-lifeandmanaafterkilltospearmaiden		400	600	prop-Torment		5	6	oskill	Wind Strike	3	3	oskill	Shattering Javelin	3	3	oskill	Flaming Spears	3	3	oskill	Lightning Fury	3	3	oskill	Fan of Glaives	3	3	aura	Master Of Magic	4	5	prop-spearsynergy		70	110	ignore-ac		1	1	pierce-immunity-damage		10	16						0
Grand Protector Of The Maiden	765	765	1	1	100	1		8	1	97	97	amu	Amulet		5	5000	lpur							prop-lifeandmanaafterkilltospearmaiden		400	600	prop-Torment		7	8	oskill	Wind Strike	3	3	oskill	Shattering Javelin	3	3	oskill	Flaming Spears	3	3	oskill	Lightning Fury	3	3	oskill	Fan of Glaives	3	3	aura	Master Of Magic	6	7	prop-spearsynergy		70	130	ignore-ac		1	1	pierce-immunity-damage		10	18						0
Grand Protector Of The Maiden	766	766	1	1	100	1		4	1	98	98	amu	Amulet		5	5000	lpur							prop-lifeandmanaafterkilltospearmaiden		400	600	prop-Torment		9	10	oskill	Wind Strike	3	3	oskill	Shattering Javelin	3	3	oskill	Flaming Spears	3	3	oskill	Lightning Fury	3	3	oskill	Fan of Glaives	3	3	aura	Master Of Magic	8	9	prop-spearsynergy		70	150	ignore-ac		1	1	pierce-immunity-damage		10	20						0
Grand Protector Of The Maiden	767	767	1	1	100	1		1	1	97	97	cm4	effigy	1	5	5000	lpur							prop-lifeandmanaafterkilltospearmaiden		400	600	prop-Torment		3	4	oskill	Wind Strike	3	3	oskill	Shattering Javelin	3	3	oskill	Flaming Spears	3	3	oskill	Lightning Fury	3	3	oskill	Fan of Glaives	3	3	aura	Master Of Magic	3	4	prop-spearsynergy		70	90	ignore-ac		1	1	pierce-immunity-damage		15	18						0
Cold Death	768	768		1	100	1		16	1	93	93	7bw	Petrified Wand		5	5000	cblu	cblu						nec		4	5	sor		4	5	hit-skill	Wave of Force	20	30	att-skill	Blood Geysers	10	40	prop-coldrrtoff		1	1	gethit-skill	Wave of Force	25	30	res-all		10	100	att		100	1200	dmg-cold		1000	1200	prop-Torment		3	4	att		100	800	enr		10	60		0
Cold Death	769	769		1	100	1		12	1	95	95	7bw	Petrified Wand		5	5000	cblu	cblu						nec		5	6	sor		5	6	hit-skill	Wave of Force	20	35	att-skill	Blood Geysers	10	40	prop-coldrrtoff		1	1	gethit-skill	Wave of Force	25	30	res-all		10	100	att		100	1300	dmg-cold		1000	1300	prop-Torment		5	6	att		100	900	enr		10	70		0
Cold Death	770	770		1	100	1		8	1	97	97	7bw	Petrified Wand		5	5000	cblu	cblu						nec		6	6	sor		6	6	hit-skill	Wave of Force	20	38	att-skill	Blood Geysers	10	40	prop-coldrrtoff		1	1	gethit-skill	Wave of Force	25	30	res-all		10	100	att		100	1350	dmg-cold		1000	1400	prop-Torment		7	8	att		100	1000	enr		10	80		0
Cold Death	771	771		1	100	1		4	1	98	98	7bw	Petrified Wand		5	5000	cblu	cblu						nec		6	7	sor		6	7	hit-skill	Wave of Force	20	30	att-skill	Blood Geysers	10	40	prop-coldrrtoff		1	1	gethit-skill	Wave of Force	25	30	res-all		10	100	att		100	1400	dmg-cold		1000	1500	prop-Torment		9	10	att		100	1100	enr		10	90		0
Cold Death	772	772	1	1	100	1		1	1	97	97	cm4	effigy	1	5	5000	cblu	cblu						nec		1	1	sor		1	1	hit-skill	Wave of Force	10	35	att-skill	Blood Geysers	7	40	prop-coldrrtoff		1	1	gethit-skill	Wave of Force	10	30	res-all		10	100	att		100	1300	dmg-cold		1000	1000	prop-Torment		3	4	att		100	900	enr		10	70		0
Guardian Angel	773	773	1	1	100	1		16	1	93	93	xlt	Templar Coat		3	5000	lgry	lgry						sock		1	1	allskills		2	2	swing2		30	40	hit-skill	Judgement Cross	10	32	dex		40	50	light		50	60	oskill	Storm Strike	12	15	oskill	Heavens Fury	12	14	extra-ltng		30	60	hp		350	450	prop-heavensfurycd		1	1	prop-Torment		3	4		0
Guardian Angel	774	774	1	1	100	1		12	1	95	95	xlt	Templar Coat		3	5000	lgry	lgry						sock		1	1	allskills		2	3	swing2		30	45	hit-skill	Judgement Cross	10	34	dex		40	55	light		50	65	oskill	Storm Strike	12	16	oskill	Heavens Fury	12	16	extra-ltng		30	70	hp		350	500	prop-heavensfurycd		1	1	prop-Torment		5	6		0
Guardian Angel	775	775	1	1	100	1		8	1	97	97	xlt	Templar Coat		3	5000	lgry	lgry						sock		1	1	allskills		2	3	swing2		30	50	hit-skill	Judgement Cross	10	36	dex		40	60	light		50	70	oskill	Storm Strike	12	17	oskill	Heavens Fury	12	18	extra-ltng		30	80	hp		350	550	prop-heavensfurycd		1	1	prop-Torment		7	8		0
Guardian Angel	776	776	1	1	100	1		4	1	98	98	xlt	Templar Coat		3	5000	lgry	lgry						sock		1	1	allskills		2	4	swing2		30	55	hit-skill	Judgement Cross	10	38	dex		40	65	light		50	75	oskill	Storm Strike	12	18	oskill	Heavens Fury	12	20	extra-ltng		30	90	hp		350	600	prop-heavensfurycd		1	1	prop-Torment		9	10		0
Guardian Angel	777	777	1	1	100	1		1	1	97	97	cm4	effigy	1	3	5000	lgry	lgry						cast2		30	40	allskills		1	1	swing2		30	45	hit-skill	Judgement Cross	8	34	dex		40	55	light		50	65	oskill	Storm Strike	7	16	oskill	Heavens Fury	7	7	extra-ltng		30	50	hp		350	400	prop-heavensfurycd		1	1	prop-Torment		3	4		0
Warmonger	778	778		1	100	1		16	1	93	93	wst	War Staff		5	5000	dyel	dyel						fireskill		4	5	swing2		30	45	cast2		30	45	dmg%		200	300	prop-FCRandAStoenchant		40	60	oskill	Righteous Fire	15	17	ac		800	1000	vit		20	20	sock		2	2	att		800	900	gethit-skill	Eldritch Fire	10	28	enr%		5	6		0
Warmonger	779	779		1	100	1		12	1	95	95	wst	War Staff		5	5000	dyel	dyel						fireskill		5	5	swing2		30	50	cast2		30	50	dmg%		200	400	prop-FCRandAStoenchant		50	70	oskill	Righteous Fire	15	18	ac		800	1000	vit		20	20	sock		2	2	att		800	900	gethit-skill	Eldritch Fire	10	29	enr%		5	6		0
Warmonger	780	780		1	100	1		8	1	97	97	wst	War Staff		5	5000	dyel	dyel						fireskill		5	6	swing2		30	55	cast2		30	55	dmg%		200	450	prop-FCRandAStoenchant		55	75	oskill	Righteous Fire	15	19	ac		800	1000	vit		20	20	sock		2	3	att		800	1000	gethit-skill	Eldritch Fire	10	30	enr%		5	7		0
Warmonger	781	781		1	100	1		4	1	98	98	wst	War Staff		5	5000	dyel	dyel						fireskill		6	6	swing2		30	60	cast2		30	60	dmg%		200	500	prop-FCRandAStoenchant		60	80	oskill	Righteous Fire	15	20	ac		800	1000	vit		20	20	sock		2	3	att		800	1100	gethit-skill	Eldritch Fire	10	31	enr%		5	7		0
Warmonger	782	782		1	100	1		1	1	98	98	dex	effigy	1	5	5000	dyel	dyel						fireskill		2	2	swing2		30	45	cast2		30	45	dmg%		200	300	prop-FCRandAStoenchant		40	60	oskill	Righteous Fire	9	9	ac		800	1000	vit		20	20	str		40	40	att		800	900	gethit-skill	Eldritch Fire	5	28	enr%		3	3		0
Spear Of Hells	783	783	1	1	100	1		16	1	93	93	7sr	Hyperion Spear		3	5000	lred	lred						prop-doublespearsynergytoflamingspears		1	1	oskill	Flaming Spears	3	3	extra-fire		50	70	dmg-fire		1400	2000	dmg%		300	425	hp		250	400	swing2		40	50	prop-dmgtofragment		50	100	prop-spearsynergy		50	100	att		1000	1000	prop-Torment		3	4	att-skill	Flaming Spears	25	40		0
Spear Of Hells	784	784	1	1	100	1		12	1	95	95	7sr	Hyperion Spear		3	5000	lred	lred						prop-doublespearsynergytoflamingspears		1	1	oskill	Flaming Spears	3	3	extra-fire		50	70	dmg-fire		1400	2000	dmg%		300	450	hp		250	425	swing2		40	50	prop-dmgtofragment		50	100	prop-spearsynergy		50	100	att		1000	1000	prop-Torment		5	6	att-skill	Flaming Spears	25	40		0
Spear Of Hells	785	785	1	1	100	1		8	1	97	97	7sr	Hyperion Spear		3	5000	lred	lred						prop-doublespearsynergytoflamingspears		1	1	oskill	Flaming Spears	3	3	extra-fire		50	70	dmg-fire		1400	2000	dmg%		300	475	hp		250	450	swing2		40	50	prop-dmgtofragment		50	100	prop-spearsynergy		50	100	att		1000	1000	prop-Torment		7	8	att-skill	Flaming Spears	25	40		0
Spear Of Hells	786	786	1	1	100	1		4	1	98	98	7sr	Hyperion Spear		3	5000	lred	lred						prop-doublespearsynergytoflamingspears		1	1	oskill	Flaming Spears	3	3	extra-fire		50	70	dmg-fire		1400	2000	dmg%		300	500	hp		250	475	swing2		40	50	prop-dmgtofragment		50	100	prop-spearsynergy		50	100	att		1000	1000	prop-Torment		9	10	att-skill	Flaming Spears	25	40		0
Spear Of Hells	787	787	1	1	100	1		1	1	97	97	cm4	effigy	1	3	5000	lred	lred						prop-doublespearsynergytoflamingspears		1	1	oskill	Flaming Spears	3	3	extra-fire		35	35	dmg-fire		1000	1100	dmg%		250	250	hp		100	200	swing2		20	30	prop-dmgtofragment		30	40	prop-spearsynergy		30	40	att		600	600	prop-Torment		3	4	att-skill	Flaming Spears	8	30		0
Temporal Sword	788	788	1	1	100	1		16	1	93	93	7gs	colossal blade		5	5000	whit	whit		invbsdu				enchantFBLSdmgincrease		50	70	oskill	Enchant	1	2	oskill	Lightning Speed	1	2	oskill	Frostborne	1	2	att-skill	Avalanche	5	30	att-skill	Electrical Storm	5	30	att-skill	Volcanic Shout	5	30	dmg%		200	350	enr		25	30	prop-Torment		3	4	pal		3	4	sor		3	4		0
Temporal Sword	789	789	1	1	100	1		12	1	95	95	7gs	colossal blade		5	5000	whit	whit		invbsdu				enchantFBLSdmgincrease		50	80	oskill	Enchant	1	3	oskill	Lightning Speed	1	3	oskill	Frostborne	1	3	att-skill	Avalanche	6	32	att-skill	Electrical Storm	6	32	att-skill	Volcanic Shout	6	32	dmg%		200	400	enr		25	35	prop-Torment		5	6	pal		3	4	sor		3	4		0
Temporal Sword	790	790	1	1	100	1		8	1	97	97	7gs	colossal blade		5	5000	whit	whit		invbsdu				enchantFBLSdmgincrease		50	90	oskill	Enchant	1	4	oskill	Lightning Speed	1	4	oskill	Frostborne	1	4	att-skill	Avalanche	7	33	att-skill	Electrical Storm	7	33	att-skill	Volcanic Shout	7	33	dmg%		200	450	enr		25	40	prop-Torment		7	8	pal		3	5	sor		3	5		0
Temporal Sword	791	791	1	1	100	1		4	1	98	98	7gs	colossal blade		5	5000	whit	whit		invbsdu				enchantFBLSdmgincrease		50	100	oskill	Enchant	1	5	oskill	Lightning Speed	1	5	oskill	Frostborne	1	5	att-skill	Avalanche	8	35	att-skill	Electrical Storm	8	35	att-skill	Volcanic Shout	8	35	dmg%		200	500	enr		25	45	prop-Torment		9	10	pal		3	6	sor		3	6		0
Temporal Sword	792	792	1	1	100	1		1	1	97	97	cm4	effigy	1	5	5000	whit	whit						enchantFBLSdmgincrease		50	50	oskill	Enchant	1	1	oskill	Lightning Speed	1	1	oskill	Frostborne	1	1	att-skill	Avalanche	4	30	att-skill	Electrical Storm	4	30	att-skill	Volcanic Shout	4	30	dmg%		200	250	enr		40	40	prop-Torment		3	4	pal		1	1	sor		1	1		0
Bow Of Zeus	793	793	1	1	100	1		16	1	93	93	6sw	ward bow		5	5000	cred			invcbwu				prop-chainlightningarrowcdr		1	1	extra-ltng		12	40	hit-skill	Tesla Arrow	15	37	att		700	900	dmg%		300	400	swing1		20	40	prop-Torment		3	4	dmg-ltng		1000	1200	pierce-immunity-light		15	20	hp		300	350	hit-skill	Lightning Orb	10	35						0
Bow Of Zeus	794	794	1	1	100	1		12	1	95	95	6sw	ward bow		5	5000	cred			invcbwu				prop-chainlightningarrowcdr		1	1	extra-ltng		12	50	hit-skill	Tesla Arrow	15	39	att		700	1000	dmg%		300	425	swing1		20	50	prop-Torment		5	6	dmg-ltng		1000	1300	pierce-immunity-light		15	22	hp		300	400	hit-skill	Lightning Orb	10	37						0
Bow Of Zeus	795	795	1	1	100	1		8	1	97	97	6sw	ward bow		5	5000	cred			invcbwu				prop-chainlightningarrowcdr		1	1	extra-ltng		12	60	hit-skill	Tesla Arrow	15	40	att		700	1100	dmg%		300	450	swing1		20	60	prop-Torment		7	8	dmg-ltng		1000	1400	pierce-immunity-light		15	24	hp		300	450	hit-skill	Lightning Orb	10	39						0
Bow Of Zeus	796	796	1	1	100	1		4	1	98	98	6sw	ward bow		5	5000	cred			invcbwu				prop-chainlightningarrowcdr		1	1	extra-ltng		12	70	hit-skill	Tesla Arrow	15	41	att		700	1200	dmg%		300	500	swing1		20	65	prop-Torment		9	10	dmg-ltng		1000	1500	pierce-immunity-light		15	26	hp		300	500	hit-skill	Lightning Orb	10	41						0
Bow Of Zeus	797	797	1	1	100	1		1	1	97	97	cm4	effigy	1	5	5000	cred							prop-chainlightningarrowcdr		1	1	extra-ltng		12	40	hit-skill	Tesla Arrow	5	37	att		700	900	dmg%		200	300	swing1		25	40	prop-Torment		3	4	dmg-ltng		1000	1200	pierce-immunity-light		15	16	hp		300	350	hit-skill	Lightning Orb	3	35						0
Aching Face	798	798		1	100	1		16	1	93	93	msk	Mask		5	5000	lblu	lblu						move2		40	45	ac		400	500	hp		300	450	nec		3	4	cast2		40	50	enr		50	55	prop-bloodskilldamage		50	60	gethit-skill	Bleeding Heart	20	27	prop-bleedingheartenergysynergy		1	1	prop-Torment		3	4	red-mag		100	100	pierce-immunity-damage		10	20		0
Aching Face	799	799		1	100	1		12	1	95	95	msk	Mask		5	5000	lblu	lblu						move2		40	50	ac		400	550	hp		300	500	nec		3	4	cast2		40	55	enr		50	60	prop-bloodskilldamage		50	65	gethit-skill	Bleeding Heart	20	29	prop-bleedingheartenergysynergy		1	1	prop-Torment		5	6	red-mag		100	100	pierce-immunity-damage		10	21		0
Aching Face	800	800		1	100	1		8	1	97	97	msk	Mask		5	5000	lblu	lblu						move2		40	55	ac		400	600	hp		300	550	nec		3	5	cast2		40	60	enr		50	65	prop-bloodskilldamage		50	70	gethit-skill	Bleeding Heart	20	31	prop-bleedingheartenergysynergy		1	1	prop-Torment		7	8	red-mag		100	100	pierce-immunity-damage		10	22		0
Aching Face	801	801		1	100	1		4	1	98	98	msk	Mask		5	5000	lblu	lblu						move2		40	60	ac		400	650	hp		300	600	nec		3	6	cast2		40	65	enr		50	70	prop-bloodskilldamage		50	75	gethit-skill	Bleeding Heart	20	33	prop-bleedingheartenergysynergy		1	1	prop-Torment		9	10	red-mag		100	100	pierce-immunity-damage		10	23		0
Aching Face	802	802		1	100	1		1	1	97	97	cm4	charm	1	5	5000	lblu	lblu						move2		40	45	ac		400	500	hp		300	300	nec		1	1	cast2		40	50	enr		50	55	prop-bloodskilldamage		50	60	gethit-skill	Bleeding Heart	5	27	prop-bleedingheartenergysynergy		1	1	prop-Torment		3	4	red-mag		100	100	pierce-immunity-damage		10	20		0
Heavens Might	803	803		1	100	1		16	1	93	93	ltp	Light Plate		5	5000	lgld	lgld						prop-Torment		3	4	str		70	110	prop-heavensfurycd		1	1	ac		500	1100	hp%		8	13	light		30	50	ac%		200	300	lifesteal		20	50	pal		3	3	enr		30	70	gethit-skill	Holy Sword Strike	15	30						0
Heavens Might	804	804		1	100	1		12	1	95	95	ltp	Light Plate		5	5000	lgld	lgld						prop-Torment		5	6	str		70	120	prop-heavensfurycd		1	1	ac		500	1200	hp%		8	13	light		30	50	ac%		200	350	lifesteal		20	55	pal		3	4	enr		30	72	gethit-skill	Holy Sword Strike	15	32						0
Heavens Might	805	805		1	100	1		8	1	97	97	ltp	Light Plate		5	5000	lgld	lgld						prop-Torment		7	8	str		70	130	prop-heavensfurycd		1	1	ac		500	1250	hp%		8	13	light		30	50	ac%		200	400	lifesteal		20	60	pal		4	4	enr		30	74	gethit-skill	Holy Sword Strike	15	34						0
Heavens Might	806	806		1	100	1		4	1	98	98	ltp	Light Plate		5	5000	lgld	lgld						prop-Torment		9	10	str		70	140	prop-heavensfurycd		1	1	ac		500	1300	hp%		8	13	light		30	50	ac%		200	450	lifesteal		20	65	pal		4	5	enr		30	76	gethit-skill	Holy Sword Strike	15	36						0
Heavens Might	807	807		1	100	1		1	1	97	97	cm4	effigy	1	5	5000	lgld	lgld						prop-Torment		3	4	str		70	70	prop-heavensfurycd		1	1	ac		500	600	hp%		3	3	light		30	50	ac%		200	300	lifesteal		20	50	pal		1	1	enr		50	50	gethit-skill	Holy Sword Strike	5	30						0
Flaying Blades	808	808		1	100	1		16	1	93	93	7ta	flying axe		5	5000	lgrn							skilldam-physaxe		5	7	bar		3	4	dmg%		300	400	prop-Torment		3	4	gethit-skill	Homing Axes	20	40	kill-skill	Homing Axes	4	40	dex		80	80	swing2		30	30																		0
Flaying Blades	809	809		1	100	1		12	1	95	95	7ta	flying axe		5	5000	lgrn							skilldam-physaxe		5	8	bar		3	4	dmg%		300	450	prop-Torment		5	6	gethit-skill	Homing Axes	20	41	kill-skill	Homing Axes	4	41	dex		80	80	swing2		30	30																		0
Flaying Blades	810	810		1	100	1		8	1	97	97	7ta	flying axe		5	5000	lgrn							skilldam-physaxe		5	9	bar		3	5	dmg%		300	475	prop-Torment		7	8	gethit-skill	Homing Axes	20	42	kill-skill	Homing Axes	4	42	dex		80	80	swing2		30	30																		0
Flaying Blades	811	811		1	100	1		4	1	98	98	7ta	flying axe		5	5000	lgrn							skilldam-physaxe		5	10	bar		3	5	dmg%		300	500	prop-Torment		9	10	gethit-skill	Homing Axes	20	43	kill-skill	Homing Axes	4	43	dex		80	80	swing2		30	30																		0
Flaying Blades	812	812		1	100	1		1	1	97	97	cm4	effigy	1	5	5000	lgrn							skilldam-physaxe		4	4	bar		1	1	dmg%		300	400	prop-Torment		3	4	gethit-skill	Homing Axes	15	40	kill-skill	Homing Axes	2	40	dex		40	40	swing2		30	30																		0
Arioc's Needle	813	813		1	100	1		16	1	93	93	7sr	hyperion spear		3	5000								prop-Torment		3	4	dmg%		300	400	att		800	900	move2		40	50	allskills		5	5	str		70	90	prop-skillsynFOGandES		7	9	oskill	Fan of Glaives	3	3	oskill	Evil Spearit	3	3	prop-dmgtochained		60	65	prop-dmgtofragment		60	65	hp		250	400		0
Arioc's Needle	814	814		1	100	1		12	1	95	95	7sr	hyperion spear		3	5000								prop-Torment		5	6	dmg%		300	450	att		800	1000	move2		40	60	allskills		5	5	str		70	100	prop-skillsynFOGandES		7	10	oskill	Fan of Glaives	3	3	oskill	Evil Spearit	3	3	prop-dmgtochained		60	70	prop-dmgtofragment		60	70	hp		250	425		0
Arioc's Needle	815	815		1	100	1		8	1	97	97	7sr	hyperion spear		3	5000								prop-Torment		7	8	dmg%		300	475	att		800	1100	move2		40	70	allskills		5	6	str		70	110	prop-skillsynFOGandES		7	11	oskill	Fan of Glaives	3	3	oskill	Evil Spearit	3	3	prop-dmgtochained		60	75	prop-dmgtofragment		60	75	hp		250	450		0
Arioc's Needle	816	816		1	100	1		4	1	98	98	7p7	hyperion spear		3	5000								prop-Torment		9	10	dmg%		300	500	att		800	1200	move2		40	80	allskills		5	6	str		70	120	prop-skillsynFOGandES		7	12	oskill	Fan of Glaives	3	3	oskill	Evil Spearit	3	3	prop-dmgtochained		60	80	prop-dmgtofragment		60	80	hp		250	475		0
Arioc's Needle	817	817		1	100	1		1	1	97	97	cm4	effigy	1	3	5000								prop-Torment		3	4	dmg%		200	250	att		800	900	move2		40	50	allskills		1	1	str		50	50	prop-skillsynFOGandES		6	6	oskill	Fan of Glaives	3	3	oskill	Evil Spearit	3	3	prop-dmgtochained		40	40	prop-dmgtofragment		40	40	hp		250	400		0
Glory Of The Nephalem	818	818			100	1		16	1	93	93	amu	Amulet		5	5000	lgld	lgld						prop-Torment		3	4	prop-hptoflamecloak		3	4	sor		4	4	dmg-fire		1000	1500	ac		500	550	pierce-immunity-fire		10	12	extra-fire		40	40	oskill	Flame Cloak	3	3																		0
Glory Of The Nephalem	819	819			100	1		12	1	95	95	amu	Amulet		5	5000	lgld	lgld						prop-Torment		5	6	prop-hptoflamecloak		3	4	sor		4	4	dmg-fire		1000	1700	ac		500	550	pierce-immunity-fire		10	13	extra-fire		40	50	oskill	Flame Cloak	3	3																		0
Glory Of The Nephalem	820	820			100	1		8	1	97	97	amu	Amulet		5	5000	lgld	lgld						prop-Torment		7	8	prop-hptoflamecloak		3	5	sor		4	4	dmg-fire		1000	1850	ac		500	550	pierce-immunity-fire		10	14	extra-fire		40	60	oskill	Flame Cloak	3	3																		0
Glory Of The Nephalem	821	821			100	1		4	1	98	98	amu	Amulet		5	5000	lgld	lgld						prop-Torment		9	10	prop-hptoflamecloak		3	5	sor		4	5	dmg-fire		1000	2000	ac		500	550	pierce-immunity-fire		10	15	extra-fire		40	70	oskill	Flame Cloak	3	3																		0
Glory Of The Nephalem	822	822			100	1		1	1	97	97	cm4	effigy	1	5	5000	lgld	lgld						prop-Torment		3	4	prop-hptoflamecloak		3	4	sor		1	1	dmg-fire		1000	1500	ac		500	550	pierce-immunity-fire		10	12	extra-fire		40	40	oskill	Flame Cloak	3	3																		0
Atma's Supreme Protection	823	823	1	1	100	1		16	1	93	93	xth	Embossed Plate		3	5000								prop-Torment		3	4	prop-armortoSS		100	120	oskill	Shield Split	3	3	dr%		30	40	gethit-skill	Shield Split	12	32	pal		4	4	oskill	Master Of Magic	3	3	lifesteal		25	25	pierce-immunity-magic		20	26	prop-dmgtoholy		60	80	str		50	70						0
Atma's Supreme Protection	824	824	1	1	100	1		12	1	95	95	xth	Embossed Plate		3	5000								prop-Torment		5	6	prop-judgereduce		100	140	oskill	Shield Split	3	3	dr%		30	45	gethit-skill	Shield Split	12	33	pal		4	4	oskill	Master Of Magic	3	3	lifesteal		25	25	pierce-immunity-magic		20	27	prop-dmgtoholy		60	90	str		50	75						0
Atma's Supreme Protection	825	825	1	1	100	1		8	1	97	97	xth	Embossed Plate		3	5000								prop-Torment		7	8	prop-judgereduce		100	160	oskill	Shield Split	3	3	dr%		30	50	gethit-skill	Shield Split	12	34	pal		4	4	oskill	Master Of Magic	3	3	lifesteal		27	27	pierce-immunity-magic		20	28	prop-dmgtoholy		60	100	str		50	80						0
Atma's Supreme Protection	826	826	1	1	100	1		4	1	98	98	xth	Embossed Plate		3	5000								prop-Torment		9	10	prop-judgereduce		100	180	oskill	Shield Split	3	3	dr%		30	55	gethit-skill	Shield Split	12	35	pal		5	5	oskill	Master Of Magic	3	3	lifesteal		30	30	pierce-immunity-magic		20	30	prop-dmgtoholy		60	110	str		50	80						0
Atma's Supreme Protection	827	827	1	1	100	1		1	1	97	97	cm4	effigy	1	3	5000								prop-Torment		3	4	prop-armortoSS		100	120	oskill	Shield Split	3	3	dr%		25	25	gethit-skill	Shield Split	6	30	pal		1	1	oskill	Master Of Magic	3	3	lifesteal		25	25	pierce-immunity-magic		18	18	prop-dmgtoholy		60	80	str		50	50						0
Wizardspike	828	828			100	1		16	1	93	93	7dg	Bone Knife		5	5000	lgry	lgry						prop-Torment		3	4	prop-coldrrtoff		2	2	att-skill	Frozen Fortress	50	20	oskill	Cold Mastery	5	5	oskill	Knife Mastery	20	22	sor		5	5	hp		350	350	att-skill	Twin Peaks	20	25	oskill	Twin Peaks	3	3	oskill	Wave of Force	3	3	kill-skill	Mythical Frozen Orb	4	36	pierce-cold-immunity		15	16		0
Wizardspike	829	829			100	1		12	1	95	95	7dg	Bone Knife		5	5000	lgry	lgry						prop-Torment		5	6	prop-coldrrtoff		2	2	att-skill	Frozen Fortress	50	20	oskill	Cold Mastery	5	5	oskill	Knife Mastery	20	24	sor		5	5	hp		350	400	att-skill	Twin Peaks	20	25	oskill	Twin Peaks	3	3	oskill	Wave of Force	3	3	kill-skill	Mythical Frozen Orb	4	37	pierce-cold-immunity		15	18		0
Wizardspike	830	830			100	1		8	1	97	97	7dg	Bone Knife		5	5000	lgry	lgry						prop-Torment		7	8	prop-coldrrtoff		2	2	att-skill	Frozen Fortress	50	20	oskill	Cold Mastery	5	5	oskill	Knife Mastery	20	26	sor		5	6	hp		350	450	att-skill	Twin Peaks	20	25	oskill	Twin Peaks	3	3	oskill	Wave of Force	3	3	kill-skill	Mythical Frozen Orb	4	38	pierce-cold-immunity		15	20		0
Wizardspike	831	831			100	1		4	1	98	98	7dg	Bone Knife		5	5000	lgry	lgry						prop-Torment		9	10	prop-coldrrtoff		2	2	att-skill	Frozen Fortress	50	20	oskill	Cold Mastery	5	5	oskill	Knife Mastery	20	28	sor		5	6	hp		350	500	att-skill	Twin Peaks	20	25	oskill	Twin Peaks	3	3	oskill	Wave of Force	3	3	kill-skill	Mythical Frozen Orb	4	39	pierce-cold-immunity		15	22		0
Wizardspike	832	832	1	1	100	1		1	1	97	97	cm4	effigy	1	5	5000	lgry	lgry						prop-Torment		3	4	prop-coldrrtoff		2	2	dr%		10	10	oskill	Cold Mastery	2	2	oskill	Knife Mastery	15	15	sor		2	2	hp		350	350	att-skill	Twin Peaks	20	25	oskill	Twin Peaks	3	3	oskill	Wave of Force	3	3	kill-skill	Mythical Frozen Orb	4	36	pierce-cold-immunity		15	16		0
Razoredge	833	833			100	1		16	1	93	93	7ha	tomahawk		5	5000	lblu			invhaxu				prop-axestormmaster		7	7	oskill	Axe Storm	3	3	prop-Torment		3	4	dex%		3	3	lifesteal		10	15	pierce-immunity-damage		20	21	dmg%		300	375	swing2		40	50	crush		30	30	att-skill	Mind Blast	10	25	att-skill	Wind Strike	10	35						0
