skill	*type	*Id	charclass	skilldesc	srvstfunc	srvdofunc	srvstopfunc	prgstack	srvprgfunc1	srvprgfunc2	srvprgfunc3	prgcalc1	prgcalc2	prgcalc3	prgdam	srvmissile	decquant	lob	srvmissilea	srvmissileb	srvmissilec	useServerMissilesOnRemoteClients	srvoverlay	aurafilter	aurastate	auratargetstate	auralencalc	aurarangecalc	aurastat1	aurastatcalc1	aurastat2	aurastatcalc2	aurastat3	aurastatcalc3	aurastat4	aurastatcalc4	aurastat5	aurastatcalc5	aurastat6	aurastatcalc6	auraevent1	auraeventfunc1	auraevent2	auraeventfunc2	auraevent3	auraeventfunc3	passivestate	passiveitype	passivereqweaponcount	passivestat1	passivecalc1	passivestat2	passivecalc2	passivestat3	passivecalc3	passivestat4	passivecalc4	passivestat5	passivecalc5	passivestat6	passivecalc6	summon	pettype	petmax	summode	sumskill1	sumsk1calc	sumskill2	sumsk2calc	sumskill3	sumsk3calc	sumskill4	sumsk4calc	sumskill5	sumsk5calc	sumumod	sumoverlay	stsuccessonly	stsound	stsoundclass	stsounddelay	weaponsnd	dosound	dosound a	dosound b	tgtoverlay	tgtsound	prgoverlay	prgsound	castoverlay	cltoverlaya	cltoverlayb	cltstfunc	cltdofunc	cltstopfunc	cltprgfunc1	cltprgfunc2	cltprgfunc3	cltmissile	cltmissilea	cltmissileb	cltmissilec	cltmissiled	cltcalc1	*cltcalc1 desc	cltcalc2	*cltcalc2 desc	cltcalc3	*cltcalc3 desc	warp	immediate	enhanceable	attackrank	noammo	range	weapsel	itypea1	itypea2	itypea3	etypea1	etypea2	itypeb1	itypeb2	itypeb3	etypeb1	etypeb2	anim	seqtrans	monanim	seqnum	seqinput	durability	UseAttackRate	LineOfSight	TargetableOnly	SearchEnemyXY	SearchEnemyNear	SearchOpenXY	SelectProc	TargetCorpse	TargetPet	TargetAlly	TargetItem	AttackNoMana	TgtPlaceCheck	KeepCursorStateOnKill	ContinueCastUnselected	ClearSelectedOnHold	ItemEffect	ItemCltEffect	ItemTgtDo	ItemTarget	ItemCheckStart	ItemCltCheckStart	ItemCastSound	ItemCastOverlay	skpoints	reqlevel	maxlvl	reqstr	reqdex	reqint	reqvit	reqskill1	reqskill2	reqskill3	restrict	State1	State2	State3	localdelay	globaldelay	leftskill	rightskill	repeat	alwayshit	usemanaondo	startmana	minmana	manashift	mana	lvlmana	interrupt	InTown	aura	periodic	perdelay	finishing	prgchargestocast	prgchargesconsumed	passive	progressive	scroll	calc1	*calc1 desc	calc2	*calc2 desc	calc3	*calc3 desc	calc4	*calc4 desc	calc5	*calc5 desc	calc6	*calc6 desc	Param1	*Param1 Description	Param2	*Param2 Description	Param3	*Param3 Description	Param4	*Param4 Description	Param5	*Param5 Description	Param6	*Param6 Description	Param7	*Param7 Description	Param8	*Param8 Description	Param9	*Param9 Description	Param10	*Param10 Description2	Param11	*Param11 Description	Param12	*Param12 Description	InGame	ToHit	LevToHit	ToHitCalc	ResultFlags	HitFlags	HitClass	Kick	HitShift	SrcDam	MinDam	MinLevDam1	MinLevDam2	MinLevDam3	MinLevDam4	MinLevDam5	MaxDam	MaxLevDam1	MaxLevDam2	MaxLevDam3	MaxLevDam4	MaxLevDam5	DmgSymPerCalc	EType	EMin	EMinLev1	EMinLev2	EMinLev3	EMinLev4	EMinLev5	EMax	EMaxLev1	EMaxLev2	EMaxLev3	EMaxLev4	EMaxLev5	EDmgSymPerCalc	ELen	ELevLen1	ELevLen2	ELevLen3	ELenSymPerCalc	aitype	aibonus	cost mult	cost add	*eol
Melee Splash		547		melee splash		22													meleesplash	meleesplash	meleesplash																																																										sorceress_cast_lightning															25						meleesplash	meleesplash	meleesplash		0	Missile Velocity Adder							1	2		none												SC	SC	xx																	1			36	10					sorceress_cast_lightning			1	40														0	1					1	8	13	1	1											0	Missile Velocity Adder																																			1					125			8	32																																			512	8000	0
Increased Speed		148		increased speed																																											increasedspeed			velocitypercent	dm12																																																													1	0		none												SC	SC	xx				1																									24	35														0	0					0	8	0	0	1								1															7	Velocity %	50	Velocity % per level																					1								8																																				768	32000	0
Tormented		548		tormented		65																		73731	tmnt				damagepercent	10*clc6	strpercent	clc6	enrpercent	clc6	dexpercent	clc6																																																																											1	1	0		none														xx																													1	35														0	1					0	8	0	0	1	1	1																			stat('Torment'.accr)		10	Resistance % Min	8	Resistance % Max	1																				1								8																																				896	64000	0
Pierce		33		pierce																																											pierce			skill_pierce	dm12																																																													1	0		rng		miss												xx																													60	35														0	0					0	8	0	0	1	1							1															1	Min % Chance	30	Max % Chance																					1								8																																				896	64000	0
Mythical Frozen Orb	fragment	549		mythical frozen orb		73													mfotrigger																																																												paladin_holybolt_cast															35						mfotrigger												1	2		none												SC	SC	xx																	1			1						paladin_holybolt_cast			1	35														1	1					1	6	20	1	1											par1	Damage % from Concentration (in 8ths)											4	Damage % from Concentration (in 8ths)																							1								8															cold	101	45	83	89	95	101	152	48	86	92	98	105	stat('energy'.accr) + stat('dmgtofragment'.accr)	50							640	16000	0
Greater Life Tap		550		greater life tap		30																		3		lifetap	ln34	ln12													damagedinmelee	5	damagedbymissile	5																																			necromancer_curse_cast									steallife					18	30						cursereversevampire		cursecast										1	4		none												SC	SC	xx					4															1						necromancer_curse_cast			1	35														0	1					1	8	9	0	1											ln56	Damage % returned as healing to attacker											4	Radius baseline	1	Radius per level	400	Duration baseline	60	Duration per level	50	Damage % returned as healing to attacker baseline	0	Damage % returned as healing to attacker per level													1								8																																				640	16000	0
Firefury	nova	551		firefury		22													firefurymissle	firefurymissle	firefurymissle																																																										sorceress_cast_lightning															25						firefurymissle				0	Missile Velocity Adder							1	2		none												SC	SC	xx																	1			36	10					sorceress_cast_lightning			12	40														0	1					1	8	13	1	1											0	Missile Velocity Adder																									5	Damage synergy									1								8															fire	16	88	103	117	133	147	293	117	133	147	161	176	stat('energy'.accr) + stat('dmgtonova'.accr)								512	8000	0
Bone Swarm	fragment	552		bone swarm		73													boneswarmmissle																																																												paladin_holybolt_cast															35						boneswarmmissle												1	2		none												SC	SC	xx																	1			1						paladin_holybolt_cast			1	35														1	1					1	6	20	1	1											par1	Damage % from Concentration (in 8ths)											4	Damage % from Concentration (in 8ths)																							1								8															mag	121	54	100	107	114	121	182	58	103	110	118	126	stat('energy'.accr) + stat('dmgtofragment'.accr)								640	16000	0
Rain Of Bones	totem, unholy	553		rain of bones		28													rainofbonescenter	rainofbonescenter	rainofbonescenter																																																														weapon_throw_1											28						rainofbonescenter												1	0		none												SC	SC	xx					4				1								1			1									6	35														1	1					1	8	30	2	1											3	AOE	3	missle rate																																	1								8															mag	98	49	60	73	84	98	120	53	67	78	91	102	stat('energy'.accr) + stat('dmgtounholy'.accr) + stat('dmgtototem'.accr)						5		256	1000	0
Cross Slash	fragment, holy, bombardment	554		cross slash		11		1											magicswordtoss	magicswordtoss	magicswordtoss																																																																									84						magicswordtoss	magicswordtoss	magicswordtoss										1	7		h2h												A1	A1	xx				1		1	1								1		1			1						paladin_holybolt_cast			1	35														1	1					1	8	25	1	1											1																																				1	100	30						8															mag	290	145	181	218	253	290	362	165	200	237	273	308	stat('energy'.accr)  + stat('dmgtofragment'.accr) + stat('dmgbombardment'.accr) + stat('dmgtoholy'.accr)								384	3000	0
Energy Rain	totem, holy	555		energy rain		28													rainofboltscenter	rainofboltscenter	rainofboltscenter																																																														weapon_throw_1											28						rainofboltscenter												1	0		none												SC	SC	xx					4				1								1			1									6	35														1	1					1	8	30	2	1											3	AOE	3	missle rate																																	1								8															mag	98	49	60	73	84	98	120	53	67	78	91	102	stat('energy'.accr) + stat('dmgtoholy'.accr) + stat('dmgtototem'.accr)						5		256	1000	0
Energy Spiral	holy, fragment	556		energy spiral		28													holytotemcontrol	holytotemcontrol	holytotemcontrol																																																										sorceress_thunder_cast															28						holytotemcontrol												1	5		none												SC	SC	xx					4				1								1			1									6	35														1	1					1	8	30	2	1											ln12	Explosion Radius											12	Explosion Radius baseline	0	Explosion Radius per level	0	Duration of ground fire baseline	0	Duration of ground fire per level																	1								8															mag	55	28	34	42	48	55	68	30	38	44	52	58	stat('energy'.accr) + stat('dmgtofragment'.accr) + stat('dmgtoholy'.accr)								768	32000	0
Stone Fury	earth, fragment	557		stone fury		41		1				2							stonemaker	stonemaker	stonemaker							3																																																																		15						stonemaker	stonemaker	stonemaker										1	5		h2h		spea										A1	A1	xx				1		1	1								1		1			1									8	35														1	1					1	8	16	2	1											1	# of Bolt Missiles created															1		1																		1	100	30						8		68	79	157	185	211	263	170	94	170	196	237	299	stat('dexterity'.accr) + stat('dmgtoearth'.accr) + stat('dmgtofragment'.accr)																						640	16000	0
Fend		30		fend	9	13																																																																										amazon_jab_1	1												14	21																		1	0		h2h		sppl										A1	A1	xx	9		1			1	1								1		1												12	35														1	1					1	8	5	0												12	# of max targets	ln34	Damage %			0	% Damage Dealt as Elemental (Used only if there is an Etype)					1	# of max targets per level	80	% Anim frame rollback	70	Damage % baseline	10	Damage % per level																	1	100	30						8	128																																			768	32000	0
Ltngaura		558		ltngaura		65																		73731	weaponaura			10	passive_ltng_mastery	(skill('Lightning Fury'.clc1))*20																																																	necromancer_golem_cast																																	1	4		none														xx																													6	20								1						0	1					0	8	0	0	1	1	1		5																																											1								8																																		1		896	64000	0
Hammertime		559		hammertime		73													hammertimetrigger																																																												paladin_holybolt_cast															35						hammertimetrigger												1	2		none												SC	SC	xx																	1			1						paladin_holybolt_cast			1	35														1	1					1	6	20	1	1											par1	Damage % from Concentration (in 8ths)											4	Damage % from Concentration (in 8ths)																							1								8															mag	101	45	83	89	95	101	152	48	86	92	98	105	stat('energy'.accr) + stat('dmgtofragment'.accr) + stat('dmgtoholy'.accr) + skill('Runic Hammer'.lvl)								640	16000	0
Stock Break	fragment	560		stock break		8													stockbreaknova	stockbreaknova	stockbreaknova																																																										sorceress_thunder_cast															17						stockbreaknova												1	5		none												SC	SC	xx				1	4	1			1								1			1									6	35														1	1					1	8	25	2	1											8		1										12	Explosion Radius baseline	0	Explosion Radius per level	0	Duration of ground fire baseline	0	Duration of ground fire per level																	1								8															mag	123	62	77	92	107	123	153	69	85	100	115	130	stat('energy'.accr) + stat('dmgtofragment'.accr) + stat('dmgtoholy'.accr)	50							768	32000	0
Fire Hammer Nova	nova	561		fire hammer nova		28													firehammermaker	firehammermaker	firehammermaker																																																										sorceress_cast_lightning															28						firehammermaker	firehammermaker	firehammermaker										1	2		none												SC	SC	xx																	1			1						sorceress_cast_lightning			12	40														0	1					1	8	13	1	1											1		10																																		1								8															fire	8	44	52	59	67	74	147	59	67	74	81	88	stat('energy'.accr) + stat('dmgtonova'.accr)								512	8000	0
FWaura		562		fwaura		65																		73731	weaponaura				item_pierce_fire_immunity	skill('Flame Wave'.blvl) + skill('Falling Cinder'.blvl)																																																	necromancer_golem_cast																																	0	4		none														xx																													1	2								1						0	1					0	8	0	0	1	1	1		5																			2																								1								8																																		1		896	64000	0
Rupture	blood, fragment	563		rupture												rupturemaker																																																															sorceress_cast_fire																				rupturemaker													1	2		none												SC	SC	xx																	1			1						sorceress_cast_fire			1	20														1	1					1	7	5	0	1											1		16																								16	Damage synergy									1								8															mag	123	62	77	92	107	123	153	69	85	100	115	130	stat('energy'.accr) + stat('dmgtofragment'.accr) + stat('bloodmastery'.accr)								256	1000	0
Tempest Flurry	wind, fragment	564		tempest flurry		28													tempestcontrol	tempestcontrol	tempestcontrol																																																										sorceress_thunder_cast															28						tempestcontrol												1	5		none												SC	SC	xx					4				1								1			1									6	35														1	1					1	8	30	2	1											ln12	Explosion Radius											12	Explosion Radius baseline	0	Explosion Radius per level	0	Duration of ground fire baseline	0	Duration of ground fire per level																	1								8															cold	110	56	68	83	95	110	135	60	76	88	103	115	stat('energy'.accr) + stat('dmgtofragment'.accr) + stat('dmgtowind'.accr)	50							768	32000	0
Unholy Revenge	unholy, fragment	565		unholy revenge												unholyone																																																																																			unholyone													1	7		none												SC	SC	xx				1		1	1								1		1			1						paladin_holybolt_cast			1	35														1	1					1	8	25	1	1																																															1								8															mag	123	62	77	92	107	123	153	69	85	100	115	130	stat('energy'.accr)  + stat('dmgtofragment'.accr) + stat('dmgtounholy'.accr)								384	3000	0
Lore Aura		566		lore aura		65																		73731	RWaura				hpregen%	stat('vitality'.accr)/10																																																	necromancer_golem_cast																																	0	4		none														xx																													1	2								1						0	1					0	8	0	0	1	1	1		5																			2																								1								8																																		1		896	64000	0
Nadir Aura		567		nadir aura		65																		73731	RWaura				item_magicbonus	skill('Warmth'.lvl)*3																																																	necromancer_golem_cast																																	0	4		none														xx																													1	2								1						0	1					0	8	0	0	1	1	1		5																			2																								1								8																																		1		896	64000	0
Prudence Aura		568		prudence aura		65																		73731	RWaura				passive_pois_pierce	skill('Poison Hadoken'.lvl)																																																	necromancer_golem_cast																																	0	4		none														xx																													1	2								1						0	1					0	8	0	0	1	1	1		5																			2																								1								8																																		1		896	64000	0
Smoke Aura		569		smoke aura		65																		73731	RWaura				passive_dodge	skill('Power Of Arrows'.blvl)	passive_avoid	skill('Power Of Arrows'.blvl)	passive_evade	skill('Power Of Arrows'.blvl)																																													necromancer_golem_cast																																	0	4		none														xx																													1	2								1						0	1					0	8	0	0	1	1	1		5																			2																								1								8																																		1		896	64000	0
Splendor Aura		570		splendor aura		65																		73731	RWaura				damageresist	skill('Boon Of The Hoarder'.lvl)																																																	necromancer_golem_cast																																	0	4		none														xx																													1	2								1						0	1					0	8	0	0	1	1	1		5																			2																								1								8																																		1		896	64000	0
White Aura		571		white aura		65																		73731	RWaura				item_lightradius	skill('Holy Sword Strike'.blvl)*3																																																	necromancer_golem_cast																																	0	4		none														xx																													1	2								1						0	1					0	8	0	0	1	1	1		5																			2																								1								8																																		1		896	64000	0
Black Aura		572		black aura		65																		73731	RWaura				passive_evade	skill('Shadow Claw'.blvl)	dmgtonova	skill('Shadow Claw'.blvl)*3	dexterity	skill('Shadow Claw'.blvl)*2																																													necromancer_golem_cast																																	0	4		none														xx																													1	2								1						0	1					0	8	0	0	1	1	1		5																			2																								1								8																																		1		896	64000	0
Bone Aura		573		bone aura		65																		73731	RWaura				bonespikesmaxtargets	(skill('Knife Mastery'.blvl))/7	dmgtochained	skill('Bone Spikes'.blvl)*3	dexterity	skill('Bone Spikes'.blvl)*2																																													necromancer_golem_cast																																	0	4		none														xx																													1	2								1						0	1					0	8	0	0	1	1	1		5																			2																								1								8																																		1		896	64000	0
Chaos Aura		574		chaos aura		65																		73731	RWaura				dmgbombardment	(skill('Zantetsuken'.blvl)*6) + (skill('Acid Skull'.blvl)*6) + (skill('Falling Cinder'.blvl)*6) + (skill('Meteor Arrow'.blvl)*6) + (skill('Judgement Cross'.blvl)*6)	manarecoverybonus	(skill('Zantetsuken'.blvl)*6) + (skill('Acid Skull'.blvl)*6) + (skill('Falling Cinder'.blvl)*6) + (skill('Meteor Arrow'.blvl)*6) + (skill('Judgement Cross'.blvl)*6)																																															necromancer_golem_cast																																	0	4		none														xx																													1	2								1						0	1					0	8	0	0	1	1	1		5																			2																								1								8																																		1		896	64000	0
Delerium Aura		575		delerium aura		65																		73731	RWaura				maximumviperssummoned	stat('dmgtosummon'.accr)/100	dmgtosummon	skill('Savage Vipers'.blvl)*4																																															necromancer_golem_cast																																	0	4		none														xx																													1	2								1						0	1					0	8	0	0	1	1	1		5																			2																								1								8																																		1		896	64000	0
Dragons Breath	multishot	576		dragons breath		105													dragonbreathmissle	dragonbreathmissle																																																											PH1															60						dragonbreathmissle	dragonbreathmissle											1	7		none												SC	SC	xx				1		1	1										1			1									6	35														1	1					1	8	20	2	1											4																																				1								8															fire	123	62	77	92	107	123	153	69	85	100	115	130	stat('energy'.accr) + stat('dmgtomultishot'.accr) + (skill('Guardian Of Wind'.blvl)*5) + stat('dmgtowind'.accr)								384	3000	0
Health Flask		577		health flask		25																			healthflask		100		hpregen	80*ulvl																																																																																		1	0		none												SC	SC	xx																				1						sorceress_enchant			1	1								1				175		1	1					1	8	1	0	1	1																																														1								8																																				896	64000	0
Mana Flask		578		mana flask		25																			manaflask		100		manarecoverybonus	8*ulvl																																																																																		1	0		none												SC	SC	xx																				1						sorceress_enchant			1	1								1				175		1	1					1	8	1	0	1	1																																														1								8																																				896	64000	0
Herald Of Thunder	bombardment	579		herald of thunder		41		1				2							hotgather	hotgather	hotgather							30																																																																		15						hotgather												1	5		none												SC	SC	xx				1	4	1	1		1								1			1									6	35								1						1	1					1	8	25	2	1											ln12	Explosion Radius											12	Explosion Radius baseline	0	Explosion Radius per level	0	Duration of ground fire baseline	0	Duration of ground fire per level																	1								8															ltng	123	62	77	92	107	123	153	69	85	100	115	130	stat('energy'.accr) + stat('dmgbombardment'.accr)								768	32000	0
Enlightenment Aura		580		enlightenment aura		65																		73731	RWaura			10	normaldrpercent	skill('Shotgun Bolts'.blvl)	magicdrpercent	skill('Shotgun Bolts'.blvl)																																															necromancer_golem_cast																																	0	4		none														xx																													1	2								1						0	1					0	8	0	0	1	1	1		5																			2																								1								8																																		1		896	64000	0
Vicious Shotgun Bolts	holy, multishot	581		vicious shotgun bolts		41		1				2							viciousshotgunbolts	viciousshotgunbolts								30																																																																		15						viciousshotgunbolts	viciousshotgunbolts											1	7		none		blun										SC	SC	xx				1	4	1	1		1								1			1									9	35														1	1					1	8	20	2	1																	stat('item_lightradius'.accr)/100						3	# of Missiles created baseline	0	# of Missiles created per level	1	Missile Activation Frame																			1								8															mag	100	121	240	278	320	399	259	140	259	299	357	457	stat('energy'.accr) + stat('dmgtomultishot'.accr) + stat('dmgtoholy'.accr)								384	3000	0
Lawbringer Aura		582		lawbringer aura		65																		73731	RWaura			10	dmgtoholy	4*(skill('Warrior Of Light'.blvl))	strpercent	(skill('Warrior Of Light'.blvl))/5																																															necromancer_golem_cast																																	0	4		none														xx																													1	2								1						0	1					0	8	0	0	1	1	1		5																			2																								1								8																																		1		896	64000	0
Caustic Tempest	fragment, wind	583		caustic tempest		73													causticwindmissle																																																												paladin_holybolt_cast															35						causticwindmissle												1	2		none												SC	SC	xx																	1			1						paladin_holybolt_cast			1	35														1	1					1	6	20	1	1											par1	Damage % from Concentration (in 8ths)											4	Damage % from Concentration (in 8ths)																							1								8															pois	87	45	55	66	76	87	109	49	61	71	82	93	stat('energy'.accr) + stat('dmgtofragment'.accr) + stat('dmgtowind'.accr)	25							640	16000	0
Treachery Aura		584		treachery aura		65																		73731	RWaura			10	dmgtounholy	10*(skill('Necromage'.blvl))	item_pierce_magic_immunity	(skill('Necromage'.blvl))																																															necromancer_golem_cast																																	0	4		none														xx																													1	2								1						0	1					0	8	0	0	1	1	1		5																			2																								1								8																																		1		896	64000	0
Venom Aura		585		venom aura		65																		73731	RWaura			10	item_pierce_poison_immunity	(skill('Caustic Spear'.blvl)) + (skill('Acid Skull'.blvl))	passive_pois_mastery	(skill('Caustic Spear'.blvl)) + (skill('Acid Skull'.blvl))	passive_pois_pierce	(skill('Caustic Spear'.blvl)) + (skill('Acid Skull'.blvl))																																													necromancer_golem_cast																																	0	4		none														xx																													1	2								1						0	1					0	8	0	0	1	1	1		5																			2																								1								8																																		1		896	64000	0
Exile Aura		586		exile aura		65																		73731	RWaura			10	firemaxdam	(stat('strength'.accr)*50)																																																	necromancer_golem_cast																																	0	4		none														xx																													1	2								1						0	1					0	8	0	0	1	1	1		5																			2																								1								8																																		1		896	64000	0
Faith Aura		587		faith aura		65																		73731	RWaura			10	magicmaxdam	1000*(skill('Heavens Arrow'.blvl))																																																	necromancer_golem_cast																																	0	4		none														xx																													1	2								1						0	1					0	8	0	0	1	1	1		5																			2																								1								8																																		1		896	64000	0
Heavens Spread	multishot, holy	588		heavens spread	4	8											1		heavensspread	heavensspread																																																																									11	17						heavensspread	heavensspread											1	7		rng		miss										A1	A1	xx				1		1	1										1			1			4						1	35														1	1					1	8	7	2	1											8 + (stat('arrowpower'.accr)/5)	dm12	par3	par3	1 + stat('multishoteventama'.accr)	# of missiles that can trigger item modifier events							1		5		1																				1								8															mag	394	176	324	347	371	394	593	187	335	359	382	410	stat('energy'.accr) + stat('dmgtomultishot'.accr) + stat('dmgtoholy'.accr)								256	1000	0
Famine Aura		589		famine aura		65																		73731	RWaura			10	passive_pois_mastery	10*(stat('maxpoisonresist'.accr))																																																	necromancer_golem_cast																																	0	4		none														xx																													1	2								1						0	1					0	8	0	0	1	1	1		5																			2																								1								8																																		1		896	64000	0
Fortitude Aura		590		fortitude aura		65																		73731	RWaura			10	armorclass	(stat('strength'.accr)) + (stat('vitality'.accr)) + (stat('energy'.accr)) + (stat('dexterity'.accr))	tohit	(stat('strength'.accr)) + (stat('vitality'.accr)) + (stat('energy'.accr)) + (stat('dexterity'.accr))																																															necromancer_golem_cast																																	0	4		none														xx																													1	2								1						0	1					0	8	0	0	1	1	1		5																			2																								1								8																																		1		896	64000	0
Hammers Of Justice	holy, fragment	591		hammers of Justice												holyone																																																																																			holyone													1	7		none												SC	SC	xx				1		1	1								1		1			1						paladin_holybolt_cast			1	35														1	1					1	8	25	1	1																																															1								8															mag	123	62	77	92	107	123	153	69	85	100	115	130	stat('energy'.accr)  + stat('dmgtofragment'.accr) + stat('dmgtoholy'.accr) + (skill('Runic Hammer'.blvl)*5)								384	3000	0
Ice Aura		592		ice aura		65																		73731	RWaura			10	coldmaxdam	(stat('energy'.accr)*50)																																																	necromancer_golem_cast																																	0	4		none														xx																													1	2								1						0	1					0	8	0	0	1	1	1		5																			2																								1								8																																		1		896	64000	0
Infinity Aura		593		infinity aura		65																		73731	RWaura			10	item_fasterattackrate	(stat('dexterity'.accr)/10)	item_fastercastrate	(stat('energy'.accr)/10)																																															necromancer_golem_cast																																	0	4		none														xx																													1	2								1						0	1					0	8	0	0	1	1	1		5																			2																								1								8																																		1		896	64000	0
Stone Aura		594		stone aura		65																		73731	RWaura			10	dmgtoearth	(skill('Cluster Grenades'.blvl)) + (skill('Seismic Spear'.blvl))*5																																																	necromancer_golem_cast																																	0	4		none														xx																													1	2								1						0	1					0	8	0	0	1	1	1		5																			2																								1								8																																		1		896	64000	0
Brand Aura		595		brand aura		65																		73731	RWaura			10	passive_fire_mastery	(stat('item_fastercastrate'.accr)/4) + (stat('item_fasterattackrate'.accr)/4)	fireresist	(stat('item_fastercastrate'.accr)/3) + (stat('item_fasterattackrate'.accr)/3)	dmgtobombardment	(stat('item_fastercastrate'.accr)/3) + (stat('item_fasterattackrate'.accr)/3)																																													necromancer_golem_cast																																	0	4		none														xx																													1	2								1						0	1					0	8	0	0	1	1	1		5																			2																								1								8																																		1		896	64000	0
Passion Aura		596		passion aura		65																		73731	RWaura			10	item_magicbonus	stat('item_fastermovevelocity'.accr)																																																	necromancer_golem_cast																																	0	4		none														xx																													1	2								1						0	1					0	8	0	0	1	1	1		5																			2																								1								8																																		1		896	64000	0
Wrath Aura		597		wrath aura		65																		73731	RWaura			10	bloodmastery	stat('damagetounholy'.accr)/2																																																	necromancer_golem_cast																																	0	4		none														xx																													1	2								1						0	1					0	8	0	0	1	1	1		5																			2																								1								8																																		1		896	64000	0
Heart Of The Oak Aura		598		heart of the oak aura		65																		73731	RWaura			10	dexterity	stat('vitality'.accr)/4	armorclass	stat('dexterity'.accr)*2																																															necromancer_golem_cast																																	0	4		none														xx																													1	2								1						0	1					0	8	0	0	1	1	1		5																			2																								1								8																																		1		896	64000	0
Memory Aura		599		memory aura		65																		73731	RWaura			10	energy	stat('strength'.accr)/4	magic_damage_reduction	stat('energy'.accr)																																															necromancer_golem_cast																																	0	4		none														xx																													1	2								1						0	1					0	8	0	0	1	1	1		5																			2																								1								8																																		1		896	64000	0
Bramble Aura		600		bramble aura		65																		73731	RWaura			10	dmgtomeleeexplosion	skill('Strength Of Nature'.blvl)*6	dexterity	skill('Strength Of Nature'.blvl)*3																																															necromancer_golem_cast																																	0	4		none														xx																													1	2								1						0	1					0	8	0	0	1	1	1		5																			2																								1								8																																		1		896	64000	0
Oath Aura		601		oath aura		65																		73731	RWaura			10	vitality	skill('Necromage'.blvl)*5	energy	skill('Blood Nova'.blvl)*5	dexterity	skill('Knife Mastery'.blvl)*5																																													necromancer_golem_cast																																	0	4		none														xx																													1	2								1						0	1					0	8	0	0	1	1	1		5																			2																								1								8																																		1		896	64000	0
Rift Aura		602		rift aura		65																		73731	RWaura			10	marksmanship	skill('Agent Of Death'.blvl)*6	item_pierce_damage_immunity	skill('Agent Of Death'.blvl)																																															necromancer_golem_cast																																	0	4		none														xx																													1	2								1						0	1					0	8	0	0	1	1	1		5																			2																								1								8																																		1		896	64000	0
Herald Of Fire	bombardment	603		herald of fire		41		1				15							hoftrigger	hoftrigger	hoftrigger							30																																																																		15						hoftrigger												1	5		none												SC	SC	xx				1	4	1	1		1								1			1									1	35								1						1	1					1	8	25	2	1											ln12	Explosion Radius											12	Explosion Radius baseline	0	Explosion Radius per level	0	Duration of ground fire baseline	0	Duration of ground fire per level																	1								8															fire	123	62	77	92	107	123	153	69	85	100	115	130	stat('energy'.accr) + stat('dmgbombardment'.accr)								768	32000	0
Pride Aura		604		pride aura		65																		73731	RWaura			10	dmgtonova	stat('dmgtoholy'.accr)/2	dmgtonova	stat('dmgtounholy'.accr)/2																																															necromancer_golem_cast																																	0	4		none														xx																													1	2								1						0	1					0	8	0	0	1	1	1		5																			2																								1								8																																		1		896	64000	0
Kingslayer Aura		605		kingslayer aura		65																		73731	RWaura			10	dmgtofragment	stat('dmgtoearth'.accr)/2	dmgtohoming	stat('dmgtowind'.accr)/2																																															necromancer_golem_cast																																	0	4		none														xx																													1	2								1						0	1					0	8	0	0	1	1	1		5																			2																								1								8																																		1		896	64000	0
Herald Of Ice	fragment	606		herald of ice		28													hoimaker	hoimaker	hoimaker																																																										sorceress_cast_lightning															28						hoimaker	hoimaker	hoimaker										1	2		none												SC	SC	xx																	1			1						sorceress_cast_lightning			1	40														0	1					1	8	13	1	1											7		12																																		1								8															cold	123	62	77	92	107	123	153	69	85	100	115	130	stat('energy'.accr) + stat('dmgtofragment'.accr)	50							512	8000	0
Nightengale Aura		607		nightengale aura		65																		73731	weaponaura				combopoints	stat('arrowpower'.accr)/2	dmgtonova	stat('arrowpower'.accr)*10																																															necromancer_golem_cast																																	0	4		none														xx																													1	2								1						0	1					0	8	0	0	1	1	1		5																			2																								1								8																																		1		896	64000	0
Certain Death Aura		608		certain death aura		65																		73731	weaponaura				marksmanship	skill('Bloodborne'.blvl)*6	item_pierce_damage_immunity	skill('Bloodborne'.blvl)																																															necromancer_golem_cast																																	0	4		none														xx																													1	2								1						0	1					0	8	0	0	1	1	1		5																			2																								1								8																																		1		896	64000	0
Vaal Demon Aura		609		vaal demon aura		65																		73731	weaponaura				maximumviperssummoned	stat('bloodmastery'.accr)/100	bloodmastery	skill('Agent Of Death'.blvl)*10																																															necromancer_golem_cast																																	0	4		none														xx																													1	2								1						0	1					0	8	0	0	1	1	1		5																			2																								1								8																																		1		896	64000	0
Unending Winter Aura		610		unending winter aura		65																		73731	weaponaura				projectilestoiceshard	stat('item_fastercastrate'.accr)/70	item_fastercastrate	skill('Ice Shard'.blvl)*3																																															necromancer_golem_cast																																	0	4		none														xx																													1	2								1						0	1					0	8	0	0	1	1	1		5																			2																								1								8																																		1		896	64000	0
Whispering Ice Aura		611		whispering ice aura		65																		73731	weaponaura				passive_cold_mastery	stat('energy'.accr)/8	passive_cold_pierce	skill('Splitting Staff'.blvl)	armorclass	stat('energy'.accr)*2																																													necromancer_golem_cast																																	0	4		none														xx																													1	2								1						0	1					0	8	0	0	1	1	1		5																			2																								1								8																																		1		896	64000	0
