description	enabled	*order	ladder	min diff	version	op	param	value	class	numinputs	input 1	input 2	input 3	input 4	input 5	input 6	input 7	output	lvl	plvl	ilvl	mod 1	mod 1 chance	mod 1 param	mod 1 min	mod 1 max	mod 2	mod 2 chance	mod 2 param	mod 2 min	mod 2 max	mod 3	mod 3 chance	mod 3 param	mod 3 min	mod 3 max	mod 4	mod 4 chance	mod 4 param	mod 4 min	mod 4 max	mod 5	mod 5 chance	mod 5 param	mod 5 min	mod 5 max	output b	b lvl	b plvl	b ilvl	b mod 1	b mod 1 chance	b mod 1 param	b mod 1 min	b mod 1 max	b mod 2	b mod 2 chance	b mod 2 param	b mod 2 min	b mod 2 max	b mod 3	b mod 3 chance	b mod 3 param	b mod 3 min	b mod 3 max	b mod 4	b mod 4 chance	b mod 4 param	b mod 4 min	b mod 4 max	b mod 5	b mod 5 chance	b mod 5 param	b mod 5 min	b mod 5 max	output c	c lvl	c plvl	c ilvl	c mod 1	c mod 1 chance	c mod 1 param	c mod 1 min	c mod 1 max	c mod 2	c mod 2 chance	c mod 2 param	c mod 2 min	c mod 2 max	c mod 3	c mod 3 chance	c mod 3 param	c mod 3 min	c mod 3 max	c mod 4	c mod 4 chance	c mod 4 param	c mod 4 min	c mod 4 max	c mod 5	c mod 5 chance	c mod 5 param	c mod 5 min	c mod 5 max	*eol
orb of augmentation- balance1	1	547			100	16	496	8		2	"misl,mag"	123						useitem				prop-upgrade			3	3	balance1			12	24	levelreq			3	3																																																																					0
orb of augmentation- reduce-ac	1	548			100	16	496	8		2	"misl,mag"	124						useitem				prop-upgrade			3	3	reduce-ac			10	20	levelreq			3	3																																																																					0
orb of augmentation- half-freeze	1	549			100	16	496	8		2	"misl,mag"	125						useitem				prop-upgrade			3	3	half-freeze			1	1	levelreq			3	3																																																																					0
orb of augmentation- dmg-demon	1	550			100	16	496	8		2	"misl,mag"	126						useitem				prop-upgrade			3	3	dmg-demon			100	200	levelreq			3	3																																																																					0
orb of augmentation- dmg-undead	1	551			100	16	496	8		2	"misl,mag"	127						useitem				prop-upgrade			3	3	dmg-undead			100	200	levelreq			3	3																																																																					0
orb of augmentation- mana-kill	1	552			100	16	496	8		2	"misl,mag"	128						useitem				prop-upgrade			3	3	mana-kill			22	40	levelreq			3	3																																																																					0
orb of augmentation- dmg-fire	1	553			100	16	496	8		2	"misl,mag"	129						useitem				prop-upgrade			3	3	dmg-fire			250	500	levelreq			3	3																																																																					0
orb of augmentation- dmg-ltng	1	554			100	16	496	8		2	"misl,mag"	130						useitem				prop-upgrade			3	3	dmg-ltng			250	500	levelreq			3	3																																																																					0
orb of augmentation- dmg-mag	1	555			100	16	496	8		2	"misl,mag"	131						useitem				prop-upgrade			3	3	dmg-mag			250	500	levelreq			3	3																																																																					0
orb of augmentation- dmg-cold	1	556			100	16	496	8		2	"misl,mag"	132						useitem				prop-upgrade			3	3	dmg-cold			250	500	levelreq			3	3																																																																					0
orb of augmentation- dmg-pois	1	557			100	16	496	8		2	"misl,mag"	133						useitem				prop-upgrade			3	3	dmg-pois		25	2500	2500	levelreq			3	3																																																																					0
orb of augmentation- dmg-norm	1	558			100	16	496	8		2	"misl,mag"	134						useitem				prop-upgrade			3	3	dmg-norm			20	45	levelreq			3	3																																																																					0
orb of augmentation- pierce-fire	1	559			100	16	496	8		2	"misl,mag"	135						useitem				prop-upgrade			3	3	pierce-fire			4	8	levelreq			3	3																																																																					0
orb of augmentation- pierce-ltng	1	560			100	16	496	8		2	"misl,mag"	136						useitem				prop-upgrade			3	3	pierce-ltng			4	8	levelreq			3	3																																																																					0
orb of augmentation- pierce-cold	1	561			100	16	496	8		2	"misl,mag"	137						useitem				prop-upgrade			3	3	pierce-cold			4	8	levelreq			3	3																																																																					0
orb of augmentation- pierce-pois	1	562			100	16	496	8		2	"misl,mag"	138						useitem				prop-upgrade			3	3	pierce-pois			4	8	levelreq			3	3																																																																					0
orb of augmentation- extra-fire	1	563			100	16	496	8		2	"misl,mag"	139						useitem				prop-upgrade			3	3	extra-fire			2	6	levelreq			3	3																																																																					0
orb of augmentation- extra-ltng	1	564			100	16	496	8		2	"misl,mag"	140						useitem				prop-upgrade			3	3	extra-ltng			4	10	levelreq			3	3																																																																					0
orb of augmentation- extra-cold	1	565			100	16	496	8		2	"misl,mag"	141						useitem				prop-upgrade			3	3	extra-cold			4	10	levelreq			3	3																																																																					0
orb of augmentation- extra-pois	1	566			100	16	496	8		2	"misl,mag"	142						useitem				prop-upgrade			3	3	extra-pois			4	10	levelreq			3	3																																																																					0
orb of augmentation- all-stats	1	567			100	16	496	8		2	"misl,mag"	143						useitem				prop-upgrade			3	3	all-stats			8	16	levelreq			3	3																																																																					0
orb of augmentation- heal-kill	1	568			100	16	496	8		2	"misl,mag"	144						useitem				prop-upgrade			3	3	heal-kill			36	72	levelreq			3	3																																																																					0
orb of augmentation- levelreq	1	569			100	16	496	8		2	"misl,mag"	145						useitem				prop-upgrade			3	3	levelreq			50	100																																																																										0
orb of augmentation- thorns	1	570			100	16	496	8		2	"misl,mag"	146						useitem	100	1		prop-upgrade			3	3	thorns			400	800	ease			5	5																																																																					0
orb of augmentation- allskills	1	571			100	16	496	8		2	"misl,mag"	147						useitem	100	1		prop-upgrade			3	3	all-skills			1	1	ease			5	5																																																																					0
unidentified baal orb -identified baal orb	1	572			100					1	val							baal	100	1																																																																																					0
		573																																																																																																							0
baal orb- marksmanship	1	574			100	18	502	0		2	"weap,uni"	150						useitem				prop-corrupted			1	1	prop-marksmanship			40	60																																																																										0
baal orb- blood skill damage	1	575			100	18	502	0		2	"weap,uni"	151						useitem				prop-corrupted			1	1	prop-bloodskilldamage			40	60																																																																										0
baal orb- unholy damage	1	576			100	18	502	0		2	"weap,uni"	152						useitem				prop-corrupted			1	1	prop-dmgtounholy			40	60																																																																										0
baal orb- chained damage	1	577			100	18	502	0		2	"weap,uni"	153						useitem				prop-corrupted			1	1	prop-dmgtochained			40	60																																																																										0
baal orb- spearsynergy	1	578			100	18	502	0		2	"weap,uni"	154						useitem				prop-corrupted			1	1	prop-spearsynergy			40	60																																																																										0
baal orb- summon damage	1	579			100	18	502	0		2	"weap,uni"	155						useitem				prop-corrupted			1	1	prop-dmgtosummon			40	60																																																																										0
baal orb- totem damage	1	580			100	18	502	0		2	"weap,uni"	156						useitem				prop-corrupted			1	1	prop-dmgtototem			40	60																																																																										0
baal orb- trap damage	1	581			100	18	502	0		2	"weap,uni"	157						useitem				prop-corrupted			1	1	prop-dmgtotrap			40	60																																																																										0
baal orb- bombardment damage	1	582			100	18	502	0		2	"weap,uni"	158						useitem				prop-corrupted			1	1	prop-dmgbombardment			40	60																																																																										0
baal orb- fragment damage	1	583			100	18	502	0		2	"weap,uni"	159						useitem				prop-corrupted			1	1	prop-dmgtofragment			40	60																																																																										0
baal orb- nova damage	1	584			100	18	502	0		2	"weap,uni"	160						useitem				prop-corrupted			1	1	prop-dmgtonova			40	60																																																																										0
baal orb- melee explosion	1	585			100	18	502	0		2	"weap,uni"	161						useitem				prop-corrupted			1	1	prop-dmgtomeleeexplosion			40	60																																																																										0
baal orb- multishot damage	1	586			100	18	502	0		2	"weap,uni"	162						useitem				prop-corrupted			1	1	prop-dmgtomultishot			40	60																																																																										0
baal orb- wind damage	1	587			100	18	502	0		2	"weap,uni"	163						useitem				prop-corrupted			1	1	prop-dmgtowind			40	60																																																																										0
baal orb- earth damage	1	588			100	18	502	0		2	"weap,uni"	164						useitem				prop-corrupted			1	1	prop-dmgtoearth			40	60																																																																										0
baal orb- holy damage	1	589			100	18	502	0		2	"weap,uni"	165						useitem				prop-corrupted			1	1	prop-dmgtoholy			40	60																																																																										0
baal orb- homing skill damage	1	590			100	18	502	0		2	"weap,uni"	166						useitem				prop-corrupted			1	1	prop-dmgtohoming			40	60																																																																										0
baal orb- damage to all elements	1	591			100	18	502	0		2	"weap,uni"	167						useitem				prop-corrupted			1	1	prop-dmgtoallelements			25	30																																																																										0
baal orb- poison skill damage	1	592			100	18	502	0		2	"weap,uni"	168						useitem				prop-corrupted			1	1	extra-pois			25	30																																																																										0
baal orb- enhanced damage	1	593			100	18	502	0		2	"weap,uni"	169						useitem				prop-corrupted			1	1	dmg%			300	350																																																																										0
baal orb- increase requirements	1	594			100	18	502	0		2	"weap,uni"	170						useitem				prop-corrupted			1	1	ease			300	300																																																																										0
baal orb- all stats	1	595			100	18	502	0		2	"weap,uni"	171						useitem				prop-corrupted			1	1	all-stats			25	30																																																																										0
baal orb- all stats %	1	596			100	18	502	0		2	"weap,uni"	172						useitem				prop-corrupted			1	1	allstat%			5	5																																																																										0
baal orb- dr%	1	597			100	18	502	0		2	"weap,uni"	173						useitem				prop-corrupted			1	1	dr%			8	8																																																																										0
baal orb- mdr%	1	598			100	18	502	0		2	"weap,uni"	174						useitem				prop-corrupted			1	1	mdr%			8	8																																																																										0
baal orb- health regen%	1	599			100	18	502	0		2	"weap,uni"	175						useitem				prop-corrupted			1	1	prop-hpregen%			75	75																																																																										0
baal orb- crushing blow	1	600			100	18	502	0		2	"weap,uni"	176						useitem				prop-corrupted			1	1	crush			8	8																																																																										0
baal orb- cannot be frozen	1	601			100	18	502	0		2	"weap,uni"	177						useitem				prop-corrupted			1	1	nofreeze			1	1																																																																										0
		602																																																																																																							0
baal orb- marksmanship	1	603			100	18	502	0		2	"armo,uni"	150						useitem				prop-corrupted			1	1	prop-marksmanship			40	60																																																																										0
baal orb- blood skill damage	1	604			100	18	502	0		2	"armo,uni"	151						useitem				prop-corrupted			1	1	prop-bloodskilldamage			40	60																																																																										0
baal orb- unholy damage	1	605			100	18	502	0		2	"armo,uni"	152						useitem				prop-corrupted			1	1	prop-dmgtounholy			40	60																																																																										0
baal orb- chained damage	1	606			100	18	502	0		2	"armo,uni"	153						useitem				prop-corrupted			1	1	prop-dmgtochained			40	60																																																																										0
baal orb- spearsynergy	1	607			100	18	502	0		2	"armo,uni"	154						useitem				prop-corrupted			1	1	prop-spearsynergy			40	60																																																																										0
baal orb- summon damage	1	608			100	18	502	0		2	"armo,uni"	155						useitem				prop-corrupted			1	1	prop-dmgtosummon			40	60																																																																										0
baal orb- totem damage	1	609			100	18	502	0		2	"armo,uni"	156						useitem				prop-corrupted			1	1	prop-dmgtototem			40	60																																																																										0
baal orb- trap damage	1	610			100	18	502	0		2	"armo,uni"	157						useitem				prop-corrupted			1	1	prop-dmgtotrap			40	60																																																																										0
baal orb- bombardment damage	1	611			100	18	502	0		2	"armo,uni"	158						useitem				prop-corrupted			1	1	prop-dmgbombardment			40	60																																																																										0
baal orb- fragment damage	1	612			100	18	502	0		2	"armo,uni"	159						useitem				prop-corrupted			1	1	prop-dmgtofragment			40	60																																																																										0
baal orb- nova damage	1	613			100	18	502	0		2	"armo,uni"	160						useitem				prop-corrupted			1	1	prop-dmgtonova			40	60																																																																										0
baal orb- melee explosion	1	614			100	18	502	0		2	"armo,uni"	161						useitem				prop-corrupted			1	1	prop-dmgtomeleeexplosion			40	60																																																																										0
baal orb- multishot damage	1	615			100	18	502	0		2	"armo,uni"	162						useitem				prop-corrupted			1	1	prop-dmgtomultishot			40	60																																																																										0
baal orb- wind damage	1	616			100	18	502	0		2	"armo,uni"	163						useitem				prop-corrupted			1	1	prop-dmgtowind			40	60																																																																										0
baal orb- earth damage	1	617			100	18	502	0		2	"armo,uni"	164						useitem				prop-corrupted			1	1	prop-dmgtoearth			40	60																																																																										0
baal orb- holy damage	1	618			100	18	502	0		2	"armo,uni"	165						useitem				prop-corrupted			1	1	prop-dmgtoholy			40	60																																																																										0
baal orb- homing skill damage	1	619			100	18	502	0		2	"armo,uni"	166						useitem				prop-corrupted			1	1	prop-dmgtohoming			40	60																																																																										0
baal orb- damage to all elements	1	620			100	18	502	0		2	"armo,uni"	167						useitem				prop-corrupted			1	1	prop-dmgtoallelements			25	30																																																																										0
baal orb- poison skill damage	1	621			100	18	502	0		2	"armo,uni"	168						useitem				prop-corrupted			1	1	extra-pois			25	30																																																																										0
baal orb- enhanced damage	1	622			100	18	502	0		2	"armo,uni"	169						useitem				prop-corrupted			1	1	dmg%			300	350																																																																										0
baal orb- increase requirements	1	623			100	18	502	0		2	"armo,uni"	170						useitem				prop-corrupted			1	1	ease			300	300																																																																										0
baal orb- all stats	1	624			100	18	502	0		2	"armo,uni"	171						useitem				prop-corrupted			1	1	all-stats			25	30																																																																										0
baal orb- all stats %	1	625			100	18	502	0		2	"armo,uni"	172						useitem				prop-corrupted			1	1	allstat%			5	5																																																																										0
baal orb- dr%	1	626			100	18	502	0		2	"armo,uni"	173						useitem				prop-corrupted			1	1	dr%			8	8																																																																										0
baal orb- mdr%	1	627			100	18	502	0		2	"armo,uni"	174						useitem				prop-corrupted			1	1	mdr%			8	8																																																																										0
baal orb- health regen%	1	628			100	18	502	0		2	"armo,uni"	175						useitem				prop-corrupted			1	1	prop-hpregen%			75	75																																																																										0
baal orb- crushing blow	1	629			100	18	502	0		2	"armo,uni"	176						useitem				prop-corrupted			1	1	crush			8	8																																																																										0
baal orb- cannot be frozen	1	630			100	18	502	0		2	"weap,uni"	177						useitem				prop-corrupted			1	1	nofreeze			1	1																																																																										0
		631																																																																																																							0
baal orb- marksmanship	1	632			100	18	502	0		2	"ring,uni"	150						useitem				prop-corrupted			1	1	prop-marksmanship			40	60																																																																										0
baal orb- blood skill damage	1	633			100	18	502	0		2	"ring,uni"	151						useitem				prop-corrupted			1	1	prop-bloodskilldamage			40	60																																																																										0
baal orb- unholy damage	1	634			100	18	502	0		2	"ring,uni"	152						useitem				prop-corrupted			1	1	prop-dmgtounholy			40	60																																																																										0
baal orb- chained damage	1	635			100	18	502	0		2	"ring,uni"	153						useitem				prop-corrupted			1	1	prop-dmgtochained			40	60																																																																										0
baal orb- spearsynergy	1	636			100	18	502	0		2	"ring,uni"	154						useitem				prop-corrupted			1	1	prop-spearsynergy			40	60																																																																										0
baal orb- summon damage	1	637			100	18	502	0		2	"ring,uni"	155						useitem				prop-corrupted			1	1	prop-dmgtosummon			40	60																																																																										0
baal orb- totem damage	1	638			100	18	502	0		2	"ring,uni"	156						useitem				prop-corrupted			1	1	prop-dmgtototem			40	60																																																																										0
baal orb- trap damage	1	639			100	18	502	0		2	"ring,uni"	157						useitem				prop-corrupted			1	1	prop-dmgtotrap			40	60																																																																										0
baal orb- bombardment damage	1	640			100	18	502	0		2	"ring,uni"	158						useitem				prop-corrupted			1	1	prop-dmgbombardment			40	60																																																																										0
baal orb- fragment damage	1	641			100	18	502	0		2	"ring,uni"	159						useitem				prop-corrupted			1	1	prop-dmgtofragment			40	60																																																																										0
baal orb- nova damage	1	642			100	18	502	0		2	"ring,uni"	160						useitem				prop-corrupted			1	1	prop-dmgtonova			40	60																																																																										0
baal orb- melee explosion	1	643			100	18	502	0		2	"ring,uni"	161						useitem				prop-corrupted			1	1	prop-dmgtomeleeexplosion			40	60																																																																										0
baal orb- multishot damage	1	644			100	18	502	0		2	"ring,uni"	162						useitem				prop-corrupted			1	1	prop-dmgtomultishot			40	60																																																																										0
baal orb- wind damage	1	645			100	18	502	0		2	"ring,uni"	163						useitem				prop-corrupted			1	1	prop-dmgtowind			40	60																																																																										0
baal orb- earth damage	1	646			100	18	502	0		2	"ring,uni"	164						useitem				prop-corrupted			1	1	prop-dmgtoearth			40	60																																																																										0
baal orb- holy damage	1	647			100	18	502	0		2	"ring,uni"	165						useitem				prop-corrupted			1	1	prop-dmgtoholy			40	60																																																																										0
baal orb- homing skill damage	1	648			100	18	502	0		2	"ring,uni"	166						useitem				prop-corrupted			1	1	prop-dmgtohoming			40	60																																																																										0
baal orb- damage to all elements	1	649			100	18	502	0		2	"ring,uni"	167						useitem				prop-corrupted			1	1	prop-dmgtoallelements			25	30																																																																										0
baal orb- poison skill damage	1	650			100	18	502	0		2	"ring,uni"	168						useitem				prop-corrupted			1	1	extra-pois			25	30																																																																										0
baal orb- enhanced damage	1	651			100	18	502	0		2	"ring,uni"	169						useitem				prop-corrupted			1	1	dmg%			300	350																																																																										0
baal orb- increase requirements	1	652			100	18	502	0		2	"ring,uni"	170						useitem				prop-corrupted			1	1	levelreq			100	100																																																																										0
baal orb- all stats	1	653			100	18	502	0		2	"ring,uni"	171						useitem				prop-corrupted			1	1	all-stats			25	30																																																																										0
baal orb- all stats %	1	654			100	18	502	0		2	"ring,uni"	172						useitem				prop-corrupted			1	1	allstat%			5	5																																																																										0
baal orb- dr%	1	655			100	18	502	0		2	"ring,uni"	173						useitem				prop-corrupted			1	1	dr%			8	8																																																																										0
baal orb- mdr%	1	656			100	18	502	0		2	"ring,uni"	174						useitem				prop-corrupted			1	1	mdr%			8	8																																																																										0
baal orb- health regen%	1	657			100	18	502	0		2	"ring,uni"	175						useitem				prop-corrupted			1	1	prop-hpregen%			75	75																																																																										0
baal orb- crushing blow	1	658			100	18	502	0		2	"ring,uni"	176						useitem				prop-corrupted			1	1	crush			8	8																																																																										0
baal orb- cannot be frozen	1	659			100	18	502	0		2	"ring,uni"	177						useitem				prop-corrupted			1	1	nofreeze			1	1																																																																										0
baal orb- marksmanship	1	660			100	18	502	0		2	"misl,uni"	150						useitem				prop-corrupted			1	1	prop-marksmanship			40	60																																																																										0
baal orb- blood skill damage	1	661			100	18	502	0		2	"misl,uni"	151						useitem				prop-corrupted			1	1	prop-bloodskilldamage			40	60																																																																										0
baal orb- unholy damage	1	662			100	18	502	0		2	"misl,uni"	152						useitem				prop-corrupted			1	1	prop-dmgtounholy			40	60																																																																										0
baal orb- chained damage	1	663			100	18	502	0		2	"misl,uni"	153						useitem				prop-corrupted			1	1	prop-dmgtochained			40	60																																																																										0
baal orb- spearsynergy	1	664			100	18	502	0		2	"misl,uni"	154						useitem				prop-corrupted			1	1	prop-spearsynergy			40	60																																																																										0
baal orb- summon damage	1	665			100	18	502	0		2	"misl,uni"	155						useitem				prop-corrupted			1	1	prop-dmgtosummon			40	60																																																																										0
baal orb- totem damage	1	666			100	18	502	0		2	"misl,uni"	156						useitem				prop-corrupted			1	1	prop-dmgtototem			40	60																																																																										0
baal orb- trap damage	1	667			100	18	502	0		2	"misl,uni"	157						useitem				prop-corrupted			1	1	prop-dmgtotrap			40	60																																																																										0
baal orb- bombardment damage	1	668			100	18	502	0		2	"misl,uni"	158						useitem				prop-corrupted			1	1	prop-dmgbombardment			40	60																																																																										0
baal orb- fragment damage	1	669			100	18	502	0		2	"misl,uni"	159						useitem				prop-corrupted			1	1	prop-dmgtofragment			40	60																																																																										0
baal orb- nova damage	1	670			100	18	502	0		2	"misl,uni"	160						useitem				prop-corrupted			1	1	prop-dmgtonova			40	60																																																																										0
baal orb- melee explosion	1	671			100	18	502	0		2	"misl,uni"	161						useitem				prop-corrupted			1	1	prop-dmgtomeleeexplosion			40	60																																																																										0
baal orb- multishot damage	1	672			100	18	502	0		2	"misl,uni"	162						useitem				prop-corrupted			1	1	prop-dmgtomultishot			40	60																																																																										0
baal orb- wind damage	1	673			100	18	502	0		2	"misl,uni"	163						useitem				prop-corrupted			1	1	prop-dmgtowind			40	60																																																																										0
baal orb- earth damage	1	674			100	18	502	0		2	"misl,uni"	164						useitem				prop-corrupted			1	1	prop-dmgtoearth			40	60																																																																										0
baal orb- holy damage	1	675			100	18	502	0		2	"misl,uni"	165						useitem				prop-corrupted			1	1	prop-dmgtoholy			40	60																																																																										0
baal orb- homing skill damage	1	676			100	18	502	0		2	"misl,uni"	166						useitem				prop-corrupted			1	1	prop-dmgtohoming			40	60																																																																										0
baal orb- damage to all elements	1	677			100	18	502	0		2	"misl,uni"	167						useitem				prop-corrupted			1	1	prop-dmgtoallelements			25	30																																																																										0
baal orb- poison skill damage	1	678			100	18	502	0		2	"misl,uni"	168						useitem				prop-corrupted			1	1	extra-pois			25	30																																																																										0
baal orb- enhanced damage	1	679			100	18	502	0		2	"misl,uni"	169						useitem				prop-corrupted			1	1	dmg%			300	350																																																																										0
baal orb- increase requirements	1	680			100	18	502	0		2	"misl,uni"	170						useitem				prop-corrupted			1	1	ease			300	300																																																																										0
baal orb- all stats	1	681			100	18	502	0		2	"misl,uni"	171						useitem				prop-corrupted			1	1	all-stats			25	30																																																																										0
baal orb- all stats %	1	682			100	18	502	0		2	"misl,uni"	172						useitem				prop-corrupted			1	1	allstat%			5	5																																																																										0
baal orb- dr%	1	683			100	18	502	0		2	"misl,uni"	173						useitem				prop-corrupted			1	1	dr%			8	8																																																																										0
baal orb- mdr%	1	684			100	18	502	0		2	"misl,uni"	174						useitem				prop-corrupted			1	1	mdr%			8	8																																																																										0
baal orb- health regen%	1	685			100	18	502	0		2	"misl,uni"	175						useitem				prop-corrupted			1	1	prop-hpregen%			75	75																																																																										0
baal orb- crushing blow	1	686			100	18	502	0		2	"misl,uni"	176						useitem				prop-corrupted			1	1	crush			8	8																																																																										0
baal orb- cannot be frozen	1	687			100	18	502	0		2	"misl,uni"	177						useitem				prop-corrupted			1	1	nofreeze			1	1																																																																										0
baal orb- marksmanship	1	688			100	18	502	0		2	"amul,uni"	150						useitem				prop-corrupted			1	1	prop-marksmanship			40	60																																																																										0
baal orb- blood skill damage	1	689			100	18	502	0		2	"amul,uni"	151						useitem				prop-corrupted			1	1	prop-bloodskilldamage			40	60																																																																										0
baal orb- unholy damage	1	690			100	18	502	0		2	"amul,uni"	152						useitem				prop-corrupted			1	1	prop-dmgtounholy			40	60																																																																										0
baal orb- chained damage	1	691			100	18	502	0		2	"amul,uni"	153						useitem				prop-corrupted			1	1	prop-dmgtochained			40	60																																																																										0
baal orb- spearsynergy	1	692			100	18	502	0		2	"amul,uni"	154						useitem				prop-corrupted			1	1	prop-spearsynergy			40	60																																																																										0
baal orb- summon damage	1	693			100	18	502	0		2	"amul,uni"	155						useitem				prop-corrupted			1	1	prop-dmgtosummon			40	60																																																																										0
baal orb- totem damage	1	694			100	18	502	0		2	"amul,uni"	156						useitem				prop-corrupted			1	1	prop-dmgtototem			40	60																																																																										0
baal orb- trap damage	1	695			100	18	502	0		2	"amul,uni"	157						useitem				prop-corrupted			1	1	prop-dmgtotrap			40	60																																																																										0
baal orb- bombardment damage	1	696			100	18	502	0		2	"amul,uni"	158						useitem				prop-corrupted			1	1	prop-dmgbombardment			40	60																																																																										0
baal orb- fragment damage	1	697			100	18	502	0		2	"amul,uni"	159						useitem				prop-corrupted			1	1	prop-dmgtofragment			40	60																																																																										0
baal orb- nova damage	1	698			100	18	502	0		2	"amul,uni"	160						useitem				prop-corrupted			1	1	prop-dmgtonova			40	60																																																																										0
baal orb- melee explosion	1	699			100	18	502	0		2	"amul,uni"	161						useitem				prop-corrupted			1	1	prop-dmgtomeleeexplosion			40	60																																																																										0
baal orb- multishot damage	1	700			100	18	502	0		2	"amul,uni"	162						useitem				prop-corrupted			1	1	prop-dmgtomultishot			40	60																																																																										0
baal orb- wind damage	1	701			100	18	502	0		2	"amul,uni"	163						useitem				prop-corrupted			1	1	prop-dmgtowind			40	60																																																																										0
baal orb- earth damage	1	702			100	18	502	0		2	"amul,uni"	164						useitem				prop-corrupted			1	1	prop-dmgtoearth			40	60																																																																										0
baal orb- holy damage	1	703			100	18	502	0		2	"amul,uni"	165						useitem				prop-corrupted			1	1	prop-dmgtoholy			40	60																																																																										0
baal orb- homing skill damage	1	704			100	18	502	0		2	"amul,uni"	166						useitem				prop-corrupted			1	1	prop-dmgtohoming			40	60																																																																										0
baal orb- damage to all elements	1	705			100	18	502	0		2	"amul,uni"	167						useitem				prop-corrupted			1	1	prop-dmgtoallelements			25	30																																																																										0
baal orb- poison skill damage	1	706			100	18	502	0		2	"amul,uni"	168						useitem				prop-corrupted			1	1	extra-pois			25	30																																																																										0
baal orb- enhanced damage	1	707			100	18	502	0		2	"amul,uni"	169						useitem				prop-corrupted			1	1	dmg%			300	350																																																																										0
baal orb- increase requirements	1	708			100	18	502	0		2	"amul,uni"	170						useitem				prop-corrupted			1	1	levelreq			100	100																																																																										0
baal orb- all stats	1	709			100	18	502	0		2	"amul,uni"	171						useitem				prop-corrupted			1	1	all-stats			25	30																																																																										0
baal orb- all stats %	1	710			100	18	502	0		2	"amul,uni"	172						useitem				prop-corrupted			1	1	allstat%			5	5																																																																										0
baal orb- dr%	1	711			100	18	502	0		2	"amul,uni"	173						useitem				prop-corrupted			1	1	dr%			8	8																																																																										0
baal orb- health regen%	1	712			100	18	502	0		2	"amul,uni"	175						useitem				prop-corrupted			1	1	prop-hpregen%			75	75																																																																										0
baal orb- crushing blow	1	713			100	18	502	0		2	"amul,uni"	176						useitem				prop-corrupted			1	1	crush			8	8																																																																										0
baal orb- mdr%	1	714			100	18	502	0		2	"amul,uni"	174						useitem				prop-corrupted			1	1	mdr%			8	8																																																																										0
baal orb- cannot be frozen	1	715			100	18	502	0		2	"amul,uni"	177						useitem				prop-corrupted			1	1	nofreeze			1	1																																																																										0
divine orb+ normal helmet with no sockets = max socketed helm with +1 all skills	1	716			100	16	496	8		2	"helm,nor,nos"	dvo						useitem				sock			6	6	prop-upgrade			5	5	allskills			1	1																																																																					0
divine orb+ normal armor with no sockets = max socketed weapon with +1 all skills	1	717			100	16	496	8		2	"tors,nor,nos"	dvo						useitem				sock			6	6	prop-upgrade			5	5	allskills			1	1																																																																					0
divine orb+ normal weapon with no sockets = max socketed weapon with +1 all skills	1	718			100	16	496	8		2	"weap,nor,nos"	dvo						useitem				sock			6	6	prop-upgrade			5	5	allskills			1	1																																																																					0
divine orb x 2 = reroll unique weapon , requires item have torment 1 or higher	1	719			100	15	487	0		3	"weap,uni"	"dvo,qty=2"						"usetype,reg,uni"																																																																																							0
divine orb x 2 = reroll unique shield , requires item have torment 1 or higher	1	720			100	15	487	0		3	"shld,uni"	"dvo,qty=2"						"usetype,reg,uni"																																																																																							0
divine orb x 2 = reroll unique armor , requires item have torment 1 or higher	1	721			100	15	487	0		3	"armo,uni"	"dvo,qty=2"						"usetype,reg,uni"																																																																																							0
divine orb x 2 = reroll unique quiver or bolt , requires item have torment 1 or higher	1	722			100	15	487	0		3	"misl,uni"	"dvo,qty=2"						"usetype,reg,uni"																																																																																							0
grand effigy + divine orb x3 = new grand effigy, 10% chance to brick	1	723			100	16	487	5		4	cm4	"dvo,qty=3"						cm4	100	1		levelreq	10		10	10	charmweight_prop			4	4																																																																										0
corruption stone X 4 = random grand effigy	1	724			100	3	489	14		4	"cup,qty=4"							cm4	100	1		charmweight_prop			4	4																																																																															0
key of belial = high level crafting materials	1	725			100					1	kob							poe8	100	1																																																																																					0
divine orb + key of mystery x2 = unidentified baal orb	1	726			100					3	dvo	"kom,qty=2"						val	100	1																																																																																					0
key of belial X2 + equipped weapon - increased exp gained	1	727			100	18	85	0		4	"weap,uni"	"kob,qty=3"						useitem				addxp			50	50																																																																															0
key of belial X2 + equipped armor - increased exp gained	1	728			100	18	85	0		4	"armo,uni"	"kob,qty=3"						useitem				addxp			50	50																																																																															0
key of belial X2 + equipped shield - increased exp gained	1	729			100	18	85	0		4	"shld,uni"	"kob,qty=3"						useitem				addxp			50	50																																																																															0
key of belial X2 + equipped amulet - increased exp gained	1	730			100	18	85	0		4	"amul,uni"	"kob,qty=3"						useitem				addxp			50	50																																																																															0
key of belial X2 + equipped ring - increased exp gained	1	731			100	18	85	0		4	"ring,uni"	"kob,qty=3"						useitem				addxp			50	50																																																																															0
key of belial X2 + equipped quiver/xbow quiver - increased exp gained	1	732			100	18	85	0		4	"misl,uni"	"kob,qty=3"						useitem				addxp			50	50																																																																															0
key of mystery  x2 + blank legendary rune = reroll legendary rune	1	733			100					3	"kom,qty=2"	lr1						lr1	100		100																																																																																				0
generate	1	734			100					1	isc								100	1																																																																																					0
unidentified orb of augmentation x4= regal orb	1	735			100					4	"uoa,qty=4"							rgo	100	1																																																																																					0
