name	*order	type	type2	code	alternategfx	namestr	version	compactsave	rarity	spawnable	Transmogrify	TMogType	TMogMin	TMogMax	mindam	maxdam	1or2handed	2handed	2handmindam	2handmaxdam	minmisdam	maxmisdam	rangeadder	speed	StrBonus	DexBonus	reqstr	reqdex	durability	nodurability	level	ShowLevel	levelreq	cost	gamble cost	magic lvl	auto prefix	normcode	ubercode	ultracode	wclass	2handedwclass	component	hit class	invwidth	invheight	stackable	minstack	maxstack	spawnstack	flippyfile	invfile	uniqueinvfile	setinvfile	hasinv	gemsockets	gemapplytype	*comment	useable	dropsound	dropsfxframe	spelldesc	spelldescstr	spelldescstr2	spelldesccalc	spelldesccolor	usesound	unique	transparent	transtbl	*quivered	lightradius	belt	quest	questdiffcheck	missiletype	durwarning	qntwarning	gemoffset	bitfield1	CharsiMin	CharsiMax	CharsiMagicMin	CharsiMagicMax	CharsiMagicLvl	GheedMin	GheedMax	GheedMagicMin	GheedMagicMax	GheedMagicLvl	AkaraMin	AkaraMax	AkaraMagicMin	AkaraMagicMax	AkaraMagicLvl	FaraMin	FaraMax	FaraMagicMin	FaraMagicMax	FaraMagicLvl	LysanderMin	LysanderMax	LysanderMagicMin	LysanderMagicMax	LysanderMagicLvl	DrognanMin	DrognanMax	DrognanMagicMin	DrognanMagicMax	DrognanMagicLvl	HratliMin	HratliMax	HratliMagicMin	HratliMagicMax	HratliMagicLvl	AlkorMin	AlkorMax	AlkorMagicMin	AlkorMagicMax	AlkorMagicLvl	OrmusMin	OrmusMax	OrmusMagicMin	OrmusMagicMax	OrmusMagicLvl	ElzixMin	ElzixMax	ElzixMagicMin	ElzixMagicMax	ElzixMagicLvl	AshearaMin	AshearaMax	AshearaMagicMin	AshearaMagicMax	AshearaMagicLvl	CainMin	CainMax	CainMagicMin	CainMagicMax	CainMagicLvl	HalbuMin	HalbuMax	HalbuMagicMin	HalbuMagicMax	HalbuMagicLvl	JamellaMin	JamellaMax	JamellaMagicMin	JamellaMagicMax	JamellaMagicLvl	LarzukMin	LarzukMax	LarzukMagicMin	LarzukMagicMax	LarzukMagicLvl	AnyaMin	AnyaMax	AnyaMagicMin	AnyaMagicMax	AnyaMagicLvl	MalahMin	MalahMax	MalahMagicMin	MalahMagicMax	MalahMagicLvl	Transform	InvTrans	SkipName	NightmareUpgrade	HellUpgrade	Nameable	PermStoreItem	diablocloneweight
Cudgel	108	club		9cl	clb	9cl	0		1	1	0	xxx			40	70							3	0	100	100	147	130	180		43	1	27	396	29380		905	clb	9cl	7cl	1hs	1hs	5	club	1	3					flpclb	invclb	invclbu	invclbu	1	2	0		0	item_staff	12						item_staff	0	0	5	0	0	0			0	7	0	0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	5	2	1	xxx	xxx	1	0	
Rune Scepter	109	scep		9sc	mac	9sc	0		1	1	0	xxx			50	90							3	0	100	100	147	130	180		44	1	28	1350	59850		905	scp	9sc	7sc	1hs	1hs	5	club	1	3					flpscp	invscp			1	2	0	magically charged	0	item_sword	12						item_sword	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	2	2	1	xxx	xxx	1	0	
Holy Water Sprinkler	110	scep		9qs	mac	9qs	0		1	1	0	xxx			60	100							3	0	100	100	187	150	180		58	1	37	3627	167580		905	gsc	9qs	7qs	1hs	1hs	5	club	1	3					flpgsc	invgsc			1	3	0	magically charged	0	item_sword	12						item_sword	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	2	2	1	xxx	xxx	1	0	
Divine Scepter	111	scep		9ws	whm	9ws	0		1	1	0	xxx			70	110							3	0	100	100	187	150	180		65	1	37	7269	352105		905	wsp	9ws	7ws	1hs	1hs	5	club	2	3					flpwsp	invwsp			1	4	0	magically charged	0	item_sword	12						item_sword	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	2	2	1	xxx	xxx	1	0	
Barbed Club	112	club		9sp	clb	9sp	0		1	1	0	xxx			51	93							3	0	100	100	147	130	180		46	1	30	975	49700		905	spc	9sp	7sp	1hs	1hs	5	1hsl	1	3					flpspc	invspc	invspcu	invspcu	1	3	0		0	item_staff	12						item_staff	0	0	5	0	0	0			0	7	0	0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	2	2	1	xxx	xxx	1	0	
Flanged Mace	113	mace		9ma	mac	9ma	0		1	1	0	xxx			60	100							3	0	100	100	178	150	180		50	1	34	1689	79115		905	mac	9ma	7ma	1hs	1hs	5	1hsl	1	3					flpmac	invmac			1	2	0		0	item_sword	12						item_sword	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	2	2	1	xxx	xxx	1	0	
Jagged Star	114	mace		9mt	mac	9mt	0		1	1	0	xxx			78	122							3	0	100	100	178	150	180		56	1	37	2832	132448		905	mst	9mt	7mt	1hs	1hs	5	1hsl	1	3					flpmst	invmst	invmstu	invmstu	1	3	0		0	item_sword	12						item_sword	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	1	2	1	xxx	xxx	1	0	
Knout	115	mace		9fl	fla	9fl	0		1	1	0	xxx			120	150							3	0	100	100	187	150	180		62	1	37	4536	219048		905	fla	9fl	7fl	1hs	1hs	5	1hsl	2	3					flpfla	invfla			1	4	0		0	item_sword	12						item_sword	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	2	2	1	xxx	xxx	1	0	
Battle Hammer	116	hamm		9wh	whm	9wh	0		1	1	0	xxx			130	160							3	0	100	100	214	200	180		70	1	65	6543	340564		905	whm	9wh	7wh	1hs	1hs	5	1hsl	2	3					flpwhm	invwhm			1	4	0		0	item_sword	12						item_sword	0	0	5	0	0	0			178	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	2	2	1	xxx	xxx	1	0	
War Club	117	hamm		9m9	mau	9m9	0		1	1	0	xxx						1	150	169			3	0	100	100	187	150	180		65	1	60	5310	263950		905	mau	9m9	7m7	stf	stf	5	2hsl	2	4					flpmau	invmau			1	4	0		0	item_largemetalweapon	12						item_largemetalweapon	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	2	2	1	xxx	xxx	1	0	
Martel de Fer	118	hamm		9gm	mau	9gm	0		1	1	0	xxx						1	150	176			3	0	100	100	214	200	180		75	1	65	9945	556085		905	gma	9gm	7gm	stf	stf	5	2hsl	2	4					flpgma	invgma	inv9gmu	inv9gmu	1	4	0		0	item_largemetalweapon	12						item_largemetalweapon	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	2	2	1	xxx	xxx	1	0	
Gladius	119	swor		9ss	ssd	9ss	0		1	1	0	xxx			50	90							3	0	100	100	147	130	180		43	1	27	516	32980		905	ssd	9ss	7ss	1hs	1hs	5	1hsl	1	3					flpssd	invssd			1	2	0		0	item_sword	12						item_sword	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	1	2	1	xxx	xxx	1	0	
Cutlass	120	swor		9sm	scm	9sm	0		1	1	0	xxx			84	137							3	0	100	100	187	150	180		62	1	37	1122	72246		905	scm	9sm	7sm	1hs	1hs	5	1hsl	1	3					flpscm	invscm	invscmu	invscmu	1	2	0		0	item_sword	12						item_sword	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	1	2	1	xxx	xxx	1	0	
Shamshir	121	swor		9sb	scm	9sb	0		1	1	0	xxx			60	100							3	0	100	100	178	150	180		50	1	34	1698	79430		905	sbr	9sb	7sb	1hs	1hs	5	1hsl	1	3					flpsbr	invsbr	invsbru	invsbru	1	2	0		0	item_sword	12						item_sword	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	1	2	1	xxx	xxx	1	0	
Tulwar	122	swor		9fc	flc	9fc	0		1	1	0	xxx			65	105							3	0	100	100	178	150	180		53	1	37	2349	107913		905	flc	9fc	7fc	1hs	1hs	5	1hsl	1	3					flpflc	invflc			1	2	0		0	item_sword	12						item_sword	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	1	2	1	xxx	xxx	1	0	
Dimensional Blade	123	swor		9cr	crs	9cr	0		1	1	0	xxx			65	105							3	0	100	100	178	150	180		53	1	37	6681	268197		905	crs	9cr	7cr	1hs	1hs	5	1hsl	2	3					flpcrs	invcrs	inv9cru	inv9cru	1	4	0		0	item_sword	12						item_sword	0	0	5	0	5	0			0	7	0	0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	1	8	1	xxx	xxx	1	0	
Battle Sword	124	swor		9bs	bsd	9bs	0		1	1	0	xxx			63	132							3	0	100	100	187	150	180		58	1	37	3387	157980		905	bsd	9bs	7bs	1hs	1hs	5	1hsl	2	3					flpbsd	invbsd			1	4	0		0	item_sword	12						item_sword	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	1	2	1	xxx	xxx	1	0	
Rune Sword	125	swor		9ls	lsd	9ls	0		1	1	0	xxx			39	164							3	0	100	100	187	150	180		64	1	37	4860	238340		905	lsd	9ls	7ls	1hs	1hs	5	1hsl	2	3					flplsd	invlsd	inv9lsu	inv9lsu	1	4	0		0	item_sword	12						item_sword	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	1	2	1	xxx	xxx	1	0	
Ancient Sword	126	swor		9wd	flc	9wd	0		1	1	0	xxx			130	160							3	0	100	100	214	200	180		71	1	37	6291	335259		905	wsd	9wd	7wd	1hs	1hs	5	1hsl	1	3					flpwsd	invwsd			1	3	0		0	item_sword	12						item_sword	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	1	2	1	xxx	xxx	1	0	
Espandon	127	swor		92h	clm	92h	0		1	1	0	xxx			22	92		1	159	186			3	0	100	100	178	150	180		53	1	37	2232	103584		905	2hs	92h	72h	1hs	2hs	5	2hss	1	4					flp2hs	inv2hs	inv2hsu	inv2hsu	1	3	0		0	item_largemetalweapon	12						item_largemetalweapon	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	1	2	1	xxx	xxx	1	0	
Dacian Falx	128	swor		9cm	clm	9cm	0		1	1	0	xxx			41	107		1	160	187			3	0	100	100	187	150	180		61	1	37	4086	195112		905	clm	9cm	7cm	1hs	2hs	5	2hss	1	4					flpclm	invclm			1	4	0		0	item_largemetalweapon	12						item_largemetalweapon	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	1	2	1	xxx	xxx	1	0	
Tusk Sword	129	swor		9gs	gsd	9gs	0		1	1	0	xxx			29	134		1	160	188			3	0	100	100	187	150	180		65	1	37	4677	235465		905	gis	9gs	7gs	1hs	2hs	5	2hss	1	4					flpgis	invgis	invgisu	invgisu	1	4	0		0	item_largemetalweapon	12						item_largemetalweapon	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	1	2	1	xxx	xxx	1	0	
Gothic Sword	130	swor		9b9	clm	9b9	0		1	1	0	xxx			120	150		1	161	189			3	0	100	100	214	200	180		70	1	37	6213	324724		905	bsw	9b9	7b7	1hs	2hs	5	2hss	1	4					flpbsw	invbsw	invbswu	invbswu	1	4	0		0	item_largemetalweapon	12						item_largemetalweapon	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	1	2	1	xxx	xxx	1	0	
Zweihander	131	swor		9fb	clm	9fb	0		1	1	0	xxx			120	150		1	167	196			3	0	100	100	214	200	180		71	1	37	7500	394500		905	flb	9fb	7fb	1hs	2hs	5	2hss	2	4					flpflb	invflb	inv9fbu	inv9fbu	1	4	0		0	item_largemetalweapon	12						item_largemetalweapon	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	1	2	1	xxx	xxx	1	0	
Executioner Sword	132	swor		9gd	gsd	9gd	0		1	1	0	xxx			150	168		1	169	199			3	0	100	100	241	230	180		75	1	37	10653	604762		905	gsd	9gd	7gd	1hs	2hs	5	2hss	2	4					flpgsd	invgsd	invgsdu	invgsdu	1	4	0		0	item_largemetalweapon	12						item_largemetalweapon	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	1	2	1	xxx	xxx	1	0	
Poignard	133	knif		9dg	dgr	9dg	0		1	1	0	xxx			39	102							3	0	100	100	147	130	180		44	1	28	480	32880		905	dgr	9dg	7dg	1ht	1ht	5	1ht	1	2					flpdgr	invdgr			1	1	0		0	item_smallmetalweapon	12						item_smallmetalweapon	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	1	2	1	xxx	xxx	1	0	
Rondel	134	knif		9di	dir	9di	0		1	1	0	xxx			47	122							3	0	100	100	178	150	180		52	1	36	1896	88756		905	dir	9di	7di	1ht	1ht	5	1ht	1	2					flpdir	invdir			1	1	0		0	item_smallmetalweapon	12						item_smallmetalweapon	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	1	2	1	xxx	xxx	1	0	
Cinquedeas	135	knif		9kr	dir	9kr	0		1	1	0	xxx			71	146							3	0	100	100	187	150	180		61	1	37	3981	190702		905	kri	9kr	7kr	1ht	1ht	5	1ht	1	3					flpkrs	invkrs	invkrsu	invkrsu	1	3	0		0	item_smallmetalweapon	12						item_smallmetalweapon	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	1	2	1	xxx	xxx	1	0	
Stilleto	136	knif		9bl	dgr	9bl	0		1	1	0	xxx			89	169							3	0	100	100	187	150	180		67	1	37	5592	282732		905	bld	9bl	7bl	1ht	1ht	5	1ht	1	3					flpbld	invbld	inv9blu	inv9blu	1	2	0		0	item_smallmetalweapon	12						item_smallmetalweapon	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	1	2	1	xxx	xxx	1	0	
Battle Dart	137	tkni		9tk	dgr	9tk	0		1	1	0	xxx			32	63					29	62	3	0	100	100	147	130	180		44	1	28	80	20480		905	tkf	9tk	7tk	1ht	1ht	5	1ht	1	2	1	60	240	120	flptkn	invtkn					0	primarily thrown	0	item_smallmetalweapon	12						item_smallmetalweapon	0	0	5	0	0	0			36	7	4	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	1	2	1	xxx	xxx	1	0	
Francisca	138	taxe		9ta	hax	9ta	0		1	1	0	xxx			44	86					47	86	3	0	100	100	178	150	180		49	1	33	90	22560		905	tax	9ta	7ta	1hs	1hs	5	1hsl	1	2	1	24	200	48	flptax	invtax					0	primarily thrown	0	item_smallmetalweapon	12						item_smallmetalweapon	0	0	5	0	0	0			35	7	5	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	5	2	1	xxx	xxx	1	0	
War Dart	139	tkni		9bk	dgr	9bk	0		1	1	0	xxx			24	93					36	70	3	0	100	100	178	150	180		56	1	37	100	25900		905	bkf	9bk	7bk	1ht	1ht	5	1ht	1	2	1	45	240	90	flpbkf	invbkf					0	primarily thrown	0	item_smallmetalweapon	12						item_smallmetalweapon	0	0	5	0	0	0			36	7	4	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	1	2	1	xxx	xxx	1	0	
Hurlbat	140	taxe		9b8	hax	9b8	0		1	1	0	xxx			51	105					62	88	3	0	100	100	187	150	180		59	1	37	110	27510		905	bal	9b8	7b8	1hs	1hs	5	1hsl	2	3	1	24	200	36	flpbal	invbal					0	primarily thrown	0	item_sword	12						item_sword	0	0	5	0	0	0			35	7	5	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	2	2	1	xxx	xxx	1	0	
War Javelin	141	jave		9ja	jav	9ja	0		1	1	0	xxx			24	74					36	83	3	0	100	100	147	130	180		43	1	27	120	21100		905	jav	9ja	7ja	1ht	1ht	5	1ht	1	3	1	45	100	100	flpjav	invjav			1	2	0	primarily thrown	0	item_javelins	12						item_javelins	0	0	5	0	0	0			1	7	2	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	5	8	1	xxx	xxx	1	0	
Great Pilum	142	jave		9pi	pil	9pi	0		1	1	0	xxx			44	102					42	109	3	0	100	100	178	150	180		53	1	37	125	25625		905	pil	9pi	7pi	1ht	1ht	5	1ht	1	3	1	40	100	100	flppil	invpil			1	2	0	primarily thrown	0	item_javelins	12						item_javelins	0	0	5	0	0	0			37	7	2	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	5	8	1	xxx	xxx	1	0	
Simbilan	143	jave		9s9	jav	9s9	0		1	1	0	xxx			32	125					70	130	3	0	100	100	187	150	180		58	1	37	135	27900		905	ssp	9s9	7s7	1ht	1ht	5	1ht	1	3	1	30	100	100	flpssp	invssp			1	2	0	primarily thrown	0	item_javelins	12						item_javelins	0	0	5	0	0	0			37	7	2	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	5	8	1	xxx	xxx	1	0	
Spiculum	144	jave		9gl	glv	9gl	0		1	1	0	xxx			51	149					83	156	3	0	100	100	187	150	180		67	1	37	145	32170		905	glv	9gl	7gl	1ht	1ht	5	1ht	1	4	1	12	100	100	flpglv	invglv			1	2	0	primarily thrown	0	item_javelins	12						item_javelins	0	0	5	0	0	0			37	7	2	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	1	2	1	xxx	xxx	1	0	
Harpoon	145	jave		9ts	pil	9ts	0		1	1	0	xxx			130	160					47	140	3	0	100	100	214	200	180		74	1	37	150	35650		905	tsp	9ts	7ts	1ht	1ht	5	1ht	1	4	1	48	100	100	flptsp	invtsp			1	2	0	primarily thrown	0	item_javelins	12						item_javelins	0	0	5	0	0	0			37	7	2	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	1	2	1	xxx	xxx	1	0	
War Spear	146	spea		9sr	spr	9sr	0		1	1	0	xxx						1	127	150			4	0	100	100	147	130	180		47	1	31	1200	58600		905	spr	9sr	7sr	2ht	2ht	5	2ht	2	4					flpspr	invspr			1	3	0	2 square reach	0	item_staff	12						item_staff	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	5	8	1	xxx	xxx	1	0	
Fuscina	147	spea		9tr	tri	9tr	0		1	1	0	xxx						1	127	150			4	0	100	100	178	150	180		52	1	36	2349	105064		905	tri	9tr	7tr	2ht	2ht	5	2ht	2	4					flptri	invtri	invtriu	invtriu	1	4	0	2 square reach	0	item_sword	12						item_sword	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	5	8	1	xxx	xxx	1	0	
War Fork	148	spea		9br	brn	9br	0		1	1	0	xxx						1	135	156			4	0	100	100	187	150	180		59	1	37	3786	178226		905	brn	9br	7br	2ht	2ht	5	2ht	2	4					flpbrn	invbrn	inv9bru	inv9bru	1	4	0	2 square reach	0	item_sword	12						item_sword	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	5	8	1	xxx	xxx	1	0	
Yari	149	spea		9st	tri	9st	0		1	1	0	xxx						1	144	163			4	0	100	100	187	150	180		64	1	37	5316	258404		905	spt	9st	7st	2ht	2ht	5	2ht	2	4					flpspt	invspt			1	4	0	2 square reach	0	item_sword	12						item_sword	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	5	8	1	xxx	xxx	1	0	
Lance	150	spea		9p9	spr	9p9	0		1	1	0	xxx						1	152	169			4	0	100	100	214	200	180		68	1	37	6369	325343		905	pik	9p9	7p7	2ht	2ht	5	2ht	2	4					flppik	invpik			1	4	0	3 square reach	0	item_sword	12						item_sword	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	5	8	1	xxx	xxx	1	0	
Lochaber Axe	151	pole		9b7	hal	9b7	0		1	1	0	xxx						1	127	150			4	0	100	100	147	130	180		47	1	31	1206	58798		905	bar	9b7	7o7	stf	stf	5	2hsl	2	4					flpbar	invbar			1	3	0	2 square reach	0	item_woodweaponlarge	12						item_woodweaponlarge	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	2	2	1	xxx	xxx	1	0	
Bill	152	pole		9vo	hal	9vo	0		1	1	0	xxx						1	127	150			4	0	100	100	178	150	180		53	1	37	2133	99921		905	vou	9vo	7vo	stf	stf	5	2hsl	2	4					flpvou	invvou			1	4	0	2 square reach	0	item_woodweaponlarge	12						item_woodweaponlarge	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	2	2	1	xxx	xxx	1	0	
Battle Scythe	153	pole		9s8	scy	9s8	0		1	1	0	xxx						1	135	156			4	0	100	100	187	150	180		58	1	37	2844	136260		905	scy	9s8	7s8	stf	stf	5	2hsl	2	4					flpscy	invscy	inv9s8u	inv9s8u	1	4	0	2 square reach	0	item_woodweaponlarge	12						item_woodweaponlarge	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	2	2	1	xxx	xxx	1	0	
Partizan	154	pole		9pa	hal	9pa	0		1	1	0	xxx						1	144	163			4	0	100	100	178	150	180		50	1	34	5403	209105		905	pax	9pa	7pa	stf	stf	5	2hsl	2	4					flppax	invpax			1	4	0	2 square reach	0	item_woodweaponlarge	12						item_woodweaponlarge	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	2	2	1	xxx	xxx	1	0	
Bec-de-Corbin	155	pole		9h9	pax	9h9	0		1	1	0	xxx						1	152	169			4	0	100	100	214	200	180		74	1	37	8418	457318		905	hal	9h9	7h7	stf	stf	5	2hsl	2	4					flphal	invhal			1	4	0	2 square reach	0	item_woodweaponlarge	12						item_woodweaponlarge	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	2	2	1	xxx	xxx	1	0	
Grim Scythe	156	pole		9wc	scy	9wc	0		1	1	0	xxx						1	66	118			4	0	100	100	241	230	180		75	1	37	10464	605520		905	wsc	9wc	7wc	stf	stf	5	2hsl	2	4					flpwsc	invwsc			1	4	0	2 square reach	0	item_woodweaponlarge	12						item_woodweaponlarge	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	2	2	1	xxx	xxx	1	0	
Jo Staff	157	staf		8ss	bst	8ss	0		1	1	0	xxx						1	88	135			3	0	100	100	147	120	180		43	1	27	804	41620	1	905	sst	8ss	6ss	stf	stf	5	club	1	3					flpsst	invsst			1	2	0	magically charged	0	item_staff	12						item_staff	0	0	5	0	0	0			0	7	0	0	5					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	5	8	1	xxx	xxx	1	0	
Quarterstaff	158	staf		8ls	sst	8ls	0		1	1	0	xxx						1	88	135			3	0	100	100	178	140	180		50	1	34	1689	79115	1	905	lst	8ls	6ls	stf	stf	5	staf	1	4					flplst	invlst			1	3	0	magically charged	0	item_staff	12						item_staff	0	0	5	0	0	0			0	7	0	0	5					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	5	8	1	xxx	xxx	1	0	
Cedar Staff	159	staf		8cs	cst	8cs	0		1	1	0	xxx						1	94	140			3	0	100	100	178	140	180		55	1	37	2598	120224	1	905	cst	8cs	6cs	stf	stf	5	staf	1	4					flpcst	invcst	invcstu	invcstu	1	4	0	magically charged	0	item_staff	12						item_staff	0	0	5	0	0	0			0	7	0	0	5					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	5	8	1	xxx	xxx	1	0	
Gothic Staff	160	staf		8bs	sst	8bs	0		1	1	0	xxx						1	101	148			3	0	100	100	187	140	180		61	1	37	3969	190198	1	905	bst	8bs	6bs	stf	stf	5	staf	1	4					flpbst	invbst			1	4	0	magically charged	0	item_staff	12						item_staff	0	0	5	0	0	0			0	7	0	0	5					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	5	8	1	xxx	xxx	1	0	
Rune Staff	161	staf		8ws	lst	8ws	0		1	1	0	xxx						1	106	153			3	0	100	100	214	190	180		68	1	37	6255	319985	1	905	wst	8ws	6ws	stf	stf	5	staf	2	4					flpwst	invwst	inv8wsu	inv8wsu	1	4	0	magically charged	0	item_staff	12						item_staff	0	0	5	0	0	0			0	7	0	0	5					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	5	8	1	xxx	xxx	1	0	
Edge Bow	162	bow		8sb	sbw	8sb	0		1	1	0	xxx						1	98	150			3	10	100	100	147	130	180	1	43	1	27	600	35500		905	sbw	8sb	6sb	bow	bow	6	bow	2	3					flpsbw	invsbw			1	3	0		0	item_bow	12						item_bow	0	0	5	1	0	0			0	7	0	0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	5	8	1	xxx	xxx	1	0	
Razor Bow	163	bow		8hb	sbw	8hb	0		1	1	0	xxx						1	98	150			3	10	100	100	147	130	180	1	47	1	31	1350	63550		905	hbw	8hb	6hb	bow	bow	6	bow	2	3					flphbw	invhbw			1	4	0		0	item_bow	12						item_bow	0	0	5	1	0	0			0	7	0	0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	5	8	1	xxx	xxx	1	0	
Cedar Bow	164	bow		8lb	lbw	8lb	0		1	1	0	xxx						1	104	156			3	10	100	100	178	150	180	1	50	1	34	1770	81950		905	lbw	8lb	6lb	bow	bow	6	bow	2	4					flplbw	invlbw	inv8lbu	inv8lbu	1	4	0		0	item_bow	12						item_bow	0	0	5	1	0	0			0	7	0	0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	5	8	1	xxx	xxx	1	0	
Double Bow	165	bow		8cb	lbw	8cb	0		1	1	0	xxx						1	111	163			3	10	100	100	178	150	180	1	56	1	37	2481	118759		905	cbw	8cb	6cb	bow	bow	6	bow	2	3					flpcbw	invcbw	invcbwu	invcbwu	1	4	0		0	item_bow	12						item_bow	0	0	5	1	0	0			0	7	0	0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	5	8	1	xxx	xxx	1	0	
Short Siege Bow	166	bow		8s8	sbb	8s8	0		1	1	0	xxx						1	117	169			3	10	100	100	187	150	180	1	62	1	37	3435	171705		905	sbb	8s8	6s7	bow	bow	6	bow	2	3					flpsbb	invsbb	inv8s8u	inv8s8u	1	4	0		0	item_bow	12						item_bow	0	0	5	1	0	0			0	7	0	0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	5	8	1	xxx	xxx	1	0	
